corner_id,corner,temp_c,vin_v,vout_en,iload_en_ma,isup_en_ua,iref_en_ua,iq_en_ua,vout_off,pg_off,clg_off,isup_off_ua,iref_off_ua,iloop_off_ua,nbias_off,iq_off_ua,ileak_vin_vout_ua,t_startup,vout_settled,vout_max_en,vout_min_reg,isup_peak_ma,clg_min_reg,isup_peak_reg_ma,vout_pp_late,vout_off_tran,vout_max_off,pg_off_tran,t_startup_us
tt_-40c_2.97v,tt,-40,2.97,1.79947,49.9854,49996.4,1.28263,12.3391,3.83901e-05,2.97,2.97,0.000107783,2.39823e-06,6.89933e-06,6.38031e-10,0.000110182,4.27418e-05,0.00411783,1.79947,1.81011,1.79947,50.7187,2.97,49.9965,6.14264e-10,2.10824e-09,1.73235e-06,2.97,4117.83
tt_-40c_3.30v,tt,-40,3.30,1.79944,49.9846,49997.3,1.28264,13.9845,0.00012165,3.3,3.3,0.000212641,2.39823e-06,1.02045e-05,8.37794e-10,0.00021504,0.000135464,0.00419564,1.79945,1.80888,1.79945,50.6662,3.3,49.9973,9.4296e-10,2.87252e-09,1.72846e-06,3.30001,4195.64
tt_-40c_3.63v,tt,-40,3.63,1.79937,49.9826,49997,1.28264,15.664,0.000345764,3.63,3.63,0.000480079,2.39823e-06,1.81331e-05,1.30707e-09,0.000482477,0.000385265,0.00424978,1.79937,1.80776,1.79937,50.6303,3.63,49.997,2.0102e-09,8.76714e-09,1.74768e-06,3.63002,4249.78
tt_27c_2.97v,tt,27,2.97,1.79938,49.9828,49994.9,1.44692,13.6293,4.94238e-05,2.97,2.97,0.000122906,2.68513e-06,6.98523e-06,8.11673e-10,0.000125591,5.50209e-05,0.00369088,1.79938,1.80901,1.79938,50.7302,2.97,49.995,6.6173e-10,3.40699e-09,1.73618e-06,2.96999,3690.88
tt_27c_3.30v,tt,27,3.30,1.79934,49.9818,49995.8,1.44692,15.4169,0.00013446,3.3,3.3,0.000229895,2.68513e-06,1.02864e-05,1.05554e-09,0.00023258,0.000149729,0.00376132,1.79935,1.80788,1.79935,50.6828,3.3,49.9958,8.14213e-10,9.63112e-09,1.69784e-06,3.29998,3761.32
tt_27c_3.63v,tt,27,3.63,1.79925,49.9792,49995,1.44693,17.2409,0.00036085,3.63,3.63,0.000499893,2.68513e-06,1.83227e-05,1.63134e-09,0.000502578,0.000402076,0.00381339,1.79925,1.80674,1.79925,50.6448,3.63,49.995,8.079e-10,2.2382e-08,1.76174e-06,3.62997,3813.39
tt_125c_2.97v,tt,125,2.97,1.7992,49.9778,49991.4,1.65667,15.2655,0.0126427,2.97,2.97,0.0143961,0.000192534,3.932e-05,4.67486e-09,0.0145887,0.0141316,0.00330073,1.7992,1.8055,1.7992,50.64,2.96998,49.9914,2.09545e-09,5.04896e-07,2.21435e-06,2.97002,3300.73
tt_125c_3.30v,tt,125,3.30,1.79916,49.9765,49992.1,1.65669,17.2139,0.014144,3.3,3.3,0.016084,0.000192534,4.33238e-05,4.80316e-09,0.0162766,0.0158237,0.00336222,1.79915,1.80451,1.79915,50.6002,3.29997,49.9921,2.25984e-09,5.70851e-07,2.30366e-06,3.29999,3362.22
tt_125c_3.63v,tt,125,3.63,1.79902,49.9728,49990.3,1.6567,19.2008,0.0160272,3.63,3.63,0.0182022,0.000192534,5.20396e-05,5.41433e-09,0.0183948,0.0179582,0.00341044,1.79902,1.80347,1.79902,50.5646,3.62997,49.9903,2.07176e-09,6.49739e-07,2.34022e-06,3.62998,3410.44
ff_-40c_2.97v,ff,-40,2.97,1.79945,49.9848,49998.9,1.71012,15.8795,6.38069e-05,2.97,2.97,0.000137762,2.40231e-06,7.76838e-06,6.39927e-10,0.000140165,7.10396e-05,0.00282977,1.79945,1.80859,1.79945,50.879,2.97,49.999,1.30922e-09,2.58964e-09,1.72775e-06,2.97,2829.77
ff_-40c_3.30v,ff,-40,3.30,1.79942,49.9838,50000.1,1.71012,18.0072,0.000207376,3.3,3.3,0.000313011,2.40231e-06,1.30424e-05,9.42718e-10,0.000315414,0.00023099,0.00286983,1.79942,1.80762,1.79942,50.8411,3.3,50.0002,2.18044e-09,8.6138e-09,1.71909e-06,3.3,2869.83
ff_-40c_3.63v,ff,-40,3.63,1.79934,49.9815,50000,1.71013,20.1738,0.000575692,3.63,3.63,0.000750111,2.40231e-06,2.57011e-05,1.64954e-09,0.000752513,0.000641862,0.00289965,1.79934,1.80666,1.79934,50.8085,3.63,50,3.07335e-09,1.50411e-08,1.73235e-06,3.63003,2899.65
ff_27c_2.97v,ff,27,2.97,1.79934,49.9818,49997.4,1.92915,17.5755,0.000323348,2.97,2.97,0.0004337,7.36693e-06,8.11233e-06,8.29405e-10,0.000441067,0.000360052,0.00253986,1.79934,1.80691,1.79934,50.8928,2.97,49.9974,8.13759e-10,2.4802e-08,1.69362e-06,2.96995,2539.86
ff_27c_3.30v,ff,27,3.30,1.7993,49.9806,49998.6,1.92916,19.8864,0.000508402,3.3,3.3,0.000656174,7.36693e-06,1.35245e-05,1.199e-09,0.000663541,0.000566381,0.00257864,1.7993,1.80599,1.7993,50.854,3.3,49.9986,9.96711e-10,2.24151e-08,1.75646e-06,3.29999,2578.64
ff_27c_3.63v,ff,27,3.63,1.79919,49.9776,49997.9,1.92917,22.2396,0.000927403,3.63,3.63,0.00114876,7.36693e-06,2.62083e-05,2.06212e-09,0.00115612,0.00103418,0.00260898,1.79919,1.80501,1.79919,50.82,3.63,49.9979,9.0963e-10,4.36788e-08,1.72474e-06,3.62997,2608.98
ff_125c_2.97v,ff,125,2.97,1.79908,49.9745,49992,2.2088,19.726,0.1439,2.97,2.97,0.162424,0.00169934,0.000328554,3.13924e-08,0.164124,0.168321,0.00229546,1.79908,1.80187,1.79908,50.7122,2.96987,49.992,9.423e-10,6.05731e-06,7.79226e-06,2.97001,2295.46
ff_125c_3.30v,ff,125,3.30,1.79902,49.9726,49992.7,2.20882,22.2442,0.160446,3.3,3.3,0.180896,0.00169934,0.000340396,3.06867e-08,0.182596,0.189141,0.00233114,1.79902,1.80106,1.79902,50.6747,3.29985,49.9927,9.17983e-10,6.80729e-06,8.5124e-06,3.30001,2331.14
ff_125c_3.63v,ff,125,3.63,1.79885,49.968,49990.6,2.20884,24.8086,0.17962,3.63,3.63,0.202319,0.00169934,0.000361243,3.1117e-08,0.204018,0.214294,0.0023606,1.79885,1.80019,1.79885,50.6369,3.62984,49.9906,1.83162e-09,7.71622e-06,9.40724e-06,3.62999,2360.6
ss_-40c_2.97v,ss,-40,2.97,1.79948,49.9856,49994.7,1.02613,10.0594,2.49868e-05,2.97,2.97,9.14372e-05,2.39811e-06,6.48183e-06,6.60744e-10,9.38353e-05,2.78147e-05,0.0055149,1.79948,1.81204,1.79948,50.6834,2.97,49.9947,9.04564e-10,2.39921e-09,1.73554e-06,2.96999,5514.9
ss_-40c_3.30v,ss,-40,3.30,1.79946,49.9849,49995.3,1.02613,11.3919,7.35883e-05,3.3,3.3,0.000153915,2.39811e-06,8.70635e-06,7.95927e-10,0.000156313,8.19319e-05,0.00568072,1.79946,1.81008,1.79946,50.5857,3.3,49.9953,1.01242e-09,3.08029e-09,1.71996e-06,3.3,5680.72
ss_-40c_3.63v,ss,-40,3.63,1.7994,49.9832,49995,1.02613,12.7581,0.000210325,3.63,3.63,0.000320599,2.39811e-06,1.37984e-05,1.11225e-09,0.000322997,0.000234259,0.00577105,1.7994,1.80877,1.7994,50.5433,3.63,49.995,2.46141e-09,9.56256e-09,1.74104e-06,3.63,5771.05
ss_27c_2.97v,ss,27,2.97,1.79939,49.9831,49993,1.15756,11.0875,2.60033e-05,2.97,2.97,9.4484e-05,2.42161e-06,6.50973e-06,8.46153e-10,9.69056e-05,2.89457e-05,0.00495145,1.79939,1.81101,1.79939,50.6685,2.97,49.9931,8.78426e-10,6.08306e-09,1.75098e-06,2.96997,4951.45
ss_27c_3.30v,ss,27,3.30,1.79936,49.9823,49993.7,1.15756,12.5369,7.48629e-05,3.3,3.3,0.000159476,2.42161e-06,8.78878e-06,1.01012e-09,0.000161897,8.33512e-05,0.00508408,1.79936,1.80945,1.79936,50.5982,3.3,49.9937,8.91935e-10,8.74453e-09,1.696e-06,3.29997,5084.08
ss_27c_3.63v,ss,27,3.63,1.79928,49.9801,49992.9,1.15757,14.0207,0.000211996,3.63,3.63,0.000324636,2.42161e-06,1.38621e-05,1.39909e-09,0.000327058,0.000236127,0.005169,1.79928,1.80813,1.79928,50.5543,3.63,49.993,8.85349e-10,1.24697e-08,1.70362e-06,3.62998,5169
ss_125c_2.97v,ss,125,2.97,1.79923,49.9787,49989.8,1.32537,12.394,0.00119983,2.97,2.97,0.00145377,2.71009e-05,1.16223e-05,2.01484e-09,0.00148087,0.00133612,0.00442339,1.79923,1.80836,1.79923,50.6034,2.96999,49.9898,3.01346e-09,4.99449e-08,1.79268e-06,2.96999,4423.39
ss_125c_3.30v,ss,125,3.30,1.7992,49.9777,49990.3,1.32538,13.9752,0.00137062,3.3,3.3,0.00165466,2.71009e-05,1.38353e-05,2.15889e-09,0.00168176,0.00152663,0.00452922,1.7992,1.80711,1.7992,50.5541,3.29999,49.9903,2.11719e-09,5.51179e-08,1.77788e-06,3.3,4529.22
ss_125c_3.63v,ss,125,3.63,1.79908,49.9745,49988.7,1.32539,15.5916,0.00164907,3.63,3.63,0.00198088,2.71009e-05,1.90411e-05,2.60586e-09,0.00200798,0.00183762,0.00460609,1.79908,1.80587,1.79908,50.5131,3.62999,49.9887,2.9215e-09,6.45177e-08,1.77529e-06,3.63001,4606.09
fs_-40c_2.97v,fs,-40,2.97,1.79946,49.9851,49996.3,1.28264,12.4695,3.06158e-05,2.97,2.97,9.76994e-05,2.39977e-06,6.62616e-06,5.89296e-10,0.000100099,3.40819e-05,0.00404799,1.79946,1.81117,1.79946,50.7816,2.97,49.9963,8.51985e-10,7.2673e-09,1.69687e-06,2.96998,4047.99
fs_-40c_3.30v,fs,-40,3.30,1.79944,49.9845,49997.3,1.28264,14.102,9.41584e-05,3.3,3.3,0.000179325,2.39977e-06,9.37107e-06,7.4579e-10,0.000181725,0.000104845,0.00415288,1.79944,1.80963,1.79944,50.6958,3.3,49.9973,7.56231e-10,-6.91701e-10,1.72215e-06,3.30002,4152.88
fs_-40c_3.63v,fs,-40,3.63,1.7994,49.9832,49997.7,1.28264,15.7724,0.000269131,3.63,3.63,0.000389972,2.39977e-06,1.56387e-05,1.10807e-09,0.000392372,0.000299814,0.00421523,1.7994,1.80854,1.7994,50.6574,3.63,49.9978,9.65622e-10,1.57212e-08,1.7052e-06,3.62998,4215.23
fs_27c_2.97v,fs,27,2.97,1.79937,49.9826,49994.9,1.44692,13.7634,3.31928e-05,2.97,2.97,0.000107069,4.77389e-06,6.7707e-06,7.45214e-10,0.000111843,3.69501e-05,0.00362809,1.79937,1.81026,1.79937,50.7903,2.97,49.9949,7.43463e-10,9.47113e-10,1.72621e-06,2.97,3628.09
fs_27c_3.30v,fs,27,3.30,1.79935,49.9819,49996,1.44693,15.5378,9.7079e-05,3.3,3.3,0.000187818,4.77389e-06,9.48892e-06,9.3447e-10,0.000192592,0.000108094,0.0037171,1.79935,1.80893,1.79935,50.7245,3.3,49.996,6.83178e-10,4.28364e-09,1.71508e-06,3.3,3717.1
fs_27c_3.63v,fs,27,3.63,1.79929,49.9804,49996.3,1.44693,17.3516,0.000272562,3.63,3.63,0.000400108,4.77389e-06,1.58106e-05,1.37613e-09,0.000404882,0.000303634,0.00377765,1.79929,1.80785,1.79929,50.6836,3.63,49.9963,7.9097e-10,2.35097e-08,1.6895e-06,3.62994,3777.65
fs_125c_2.97v,fs,125,2.97,1.79921,49.9781,49991.9,1.65669,15.3996,0.00250123,2.97,2.97,0.00378506,0.000957194,2.15418e-05,1.96156e-09,0.00474226,0.00278616,0.00325998,1.79921,1.80739,1.79921,50.7248,2.96989,49.9919,9.5805e-10,1.02247e-07,1.798e-06,2.96999,3259.98
fs_125c_3.30v,fs,125,3.30,1.79918,49.9773,49993,1.6567,17.3344,0.00278443,3.3,3.3,0.00412792,0.000957194,2.45336e-05,2.14523e-09,0.00508511,0.00310259,0.00333407,1.79918,1.80631,1.79918,50.6759,3.29988,49.993,1.33103e-09,1.14029e-07,1.81063e-06,3.29999,3334.07
fs_125c_3.63v,fs,125,3.63,1.79911,49.9752,49992.8,1.65671,19.3103,0.00321825,3.63,3.63,0.00465223,0.000957194,3.12076e-05,2.66115e-09,0.00560942,0.00358827,0.00339061,1.79911,1.80527,1.79911,50.639,3.62987,49.9928,7.32654e-10,1.28336e-07,1.84984e-06,3.63,3390.61
sf_-40c_2.97v,sf,-40,2.97,1.79948,49.9856,49996.5,1.28263,12.2142,4.91136e-05,2.97,2.97,0.000118948,2.39812e-06,7.25665e-06,6.97859e-10,0.000121347,5.46785e-05,0.00417172,1.79948,1.80914,1.79948,50.6748,2.97,49.9965,3.85119e-09,1.62535e-09,1.72809e-06,2.97,4171.72
sf_-40c_3.30v,sf,-40,3.30,1.79944,49.9844,49997,1.28263,13.8708,0.00015839,3.3,3.3,0.000255518,2.39812e-06,1.14267e-05,9.5759e-10,0.000257916,0.000176399,0.00423338,1.79944,1.80803,1.79944,50.6349,3.3,49.997,1.40969e-09,6.04767e-09,1.73178e-06,3.3,4233.38
sf_-40c_3.63v,sf,-40,3.63,1.79933,49.9814,49995.7,1.28264,15.5597,0.00044566,3.63,3.63,0.00059632,2.39812e-06,2.14133e-05,1.57047e-09,0.000598718,0.000496712,0.00427811,1.79933,1.80689,1.79933,50.6001,3.63,49.9957,3.14943e-09,1.12399e-08,1.73229e-06,3.63002,4278.11
