corner_id,corner,temp_c,vin_v,vout_en,iload_en_ma,isup_en_ua,iref_en_ua,iq_en_ua,vout_off,pg_off,clg_off,isup_off_ua,iref_off_ua,iloop_off_ua,nbias_off,iq_off_ua,ileak_vin_vout_ua,t_startup,vout_settled,vout_max_en,vout_min_reg,isup_peak_ma,clg_min_reg,isup_peak_reg_ma,vout_pp_late,vout_off_tran,vout_max_off,pg_off_tran,t_startup_us
sf_27c_2.97v,sf,27,2.97,1.79938,49.9827,49994.8,1.44691,13.5011,0.000167495,2.97,2.97,0.00025577,2.43549e-06,7.37909e-06,9.03008e-10,0.000258206,0.000186484,0.00374404,1.79938,1.80769,1.79938,50.6744,2.97,49.9948,3.51131e-09,9.82716e-09,1.74582e-06,2.96999,3744.04
sf_27c_3.30v,sf,27,3.30,1.79933,49.9812,49995.1,1.44692,15.3006,0.00029567,3.3,3.3,0.000409965,2.43549e-06,1.16521e-05,1.22254e-09,0.000412401,0.000329309,0.00380191,1.79932,1.80661,1.79932,50.6352,3.3,49.9951,2.32442e-09,1.16207e-08,1.73306e-06,3.3,3801.91
sf_27c_3.63v,sf,27,3.63,1.79918,49.9772,49992.8,1.44692,17.135,0.000606008,3.63,3.63,0.000777187,2.43549e-06,2.16826e-05,1.97889e-09,0.000779622,0.000675478,0.00384659,1.79918,1.80546,1.79918,50.599,3.63,49.9929,1.81335e-09,2.21424e-08,1.73729e-06,3.63001,3846.59
sf_125c_2.97v,sf,125,2.97,1.79916,49.9767,49990.2,1.65666,15.1393,0.0792764,2.97,2.97,0.0886774,4.27613e-05,0.000176615,2.08549e-08,0.0887201,0.0906766,0.00335158,1.79916,1.8032,1.79916,50.533,2.96999,49.9902,2.42408e-09,3.2657e-06,4.99417e-06,2.96999,3351.58
sf_125c_3.30v,sf,125,3.30,1.79908,49.9744,49989.9,1.65668,17.1002,0.0886123,3.3,3.3,0.0990888,4.27613e-05,0.000184208,2.02454e-08,0.0991316,0.101805,0.00340375,1.79908,1.80228,1.79908,50.4988,3.29999,49.9899,2.51693e-09,3.66286e-06,5.39144e-06,3.30001,3403.75
sf_125c_3.63v,sf,125,3.63,1.79886,49.9683,49985.7,1.65669,19.0987,0.0995915,3.63,3.63,0.111339,4.27613e-05,0.000198408,2.05761e-08,0.111382,0.115212,0.00344697,1.79886,1.80124,1.79886,50.4622,3.62999,49.9857,2.19364e-09,4.15613e-06,5.89495e-06,3.62996,3446.97
res_ff_-40c_2.97v,res_ff,-40,2.97,1.79944,49.9843,49997.7,1.71011,15.093,3.83901e-05,2.97,2.97,0.000107783,2.39823e-06,6.89933e-06,6.38031e-10,0.000110182,4.27388e-05,0.00308261,1.79944,1.81058,1.79944,50.8938,2.97,49.9977,7.77501e-10,2.95276e-09,1.70735e-06,2.96999,3082.61
res_ff_-40c_3.30v,res_ff,-40,3.30,1.7994,49.9835,49998.9,1.71012,17.1853,0.000121651,3.3,3.3,0.000212643,2.39823e-06,1.02045e-05,8.37795e-10,0.000215041,0.000135466,0.0031442,1.7994,1.80925,1.7994,50.8284,3.3,49.999,5.69052e-10,1.42751e-09,1.7197e-06,3.30001,3144.2
res_ff_-40c_3.63v,res_ff,-40,3.63,1.79933,49.9813,49998.9,1.71012,19.3225,0.000345763,3.63,3.63,0.000480086,2.39823e-06,1.81073e-05,1.30708e-09,0.000482484,0.000385268,0.00318683,1.79933,1.80802,1.79933,50.786,3.63,49.999,8.8014e-10,5.53794e-09,1.73866e-06,3.63003,3186.83
res_ff_27c_2.97v,res_ff,27,2.97,1.79934,49.9816,49996.4,1.92913,16.7121,4.94257e-05,2.97,2.97,0.000122906,2.68514e-06,6.98523e-06,8.11674e-10,0.000125591,5.50219e-05,0.00276221,1.79934,1.80935,1.79934,50.9171,2.97,49.9964,6.7429e-10,4.61273e-09,1.69592e-06,2.96999,2762.21
res_ff_27c_3.30v,res_ff,27,3.30,1.7993,49.9805,49997.6,1.92914,18.985,0.000134457,3.3,3.3,0.000229895,2.68514e-06,1.02981e-05,1.05554e-09,0.00023258,0.000149729,0.00281795,1.7993,1.80812,1.7993,50.8586,3.3,49.9976,1.92868e-09,5.75548e-09,1.73078e-06,3.3,2817.95
res_ff_27c_3.63v,res_ff,27,3.63,1.7992,49.9778,49997.1,1.92915,21.3058,0.000360851,3.63,3.63,0.000499894,2.68514e-06,1.83099e-05,1.63134e-09,0.000502579,0.000402077,0.00285918,1.7992,1.80696,1.7992,50.8182,3.63,49.9971,1.36911e-09,1.73116e-08,1.75502e-06,3.62999,2859.18
res_ff_125c_2.97v,res_ff,125,2.97,1.79915,49.9763,49992.9,2.20877,18.7644,0.0126427,2.97,2.97,0.0143961,0.000192535,3.932e-05,4.67486e-09,0.0145887,0.0141316,0.00246838,1.79915,1.80564,1.79915,50.8282,2.96998,49.9929,6.99429e-10,5.10544e-07,2.24719e-06,2.96999,2468.38
res_ff_125c_3.30v,res_ff,125,3.30,1.7991,49.9749,49993.9,2.20879,21.2411,0.014144,3.3,3.3,0.016084,0.000192535,4.33238e-05,4.80316e-09,0.0162766,0.0158237,0.00251735,1.7991,1.80458,1.7991,50.7795,3.29998,49.9939,8.61137e-10,5.65642e-07,2.27576e-06,3.30002,2517.35
res_ff_125c_3.63v,res_ff,125,3.63,1.79895,49.9709,49992.5,2.20881,23.7691,0.0160272,3.63,3.63,0.0182022,0.000192535,5.20396e-05,5.41434e-09,0.0183948,0.0179582,0.00255586,1.79895,1.80345,1.79895,50.7375,3.62998,49.9925,1.09953e-09,6.55899e-07,2.32772e-06,3.62995,2555.86
res_ss_-40c_2.97v,res_ss,-40,2.97,1.7995,49.9861,49995.7,1.02613,10.5551,3.83914e-05,2.97,2.97,0.000107783,2.39822e-06,6.89934e-06,6.38031e-10,0.000110181,4.27394e-05,0.00515386,1.7995,1.80981,1.7995,50.6136,2.97,49.9957,7.40539e-10,-2.31549e-09,1.72098e-06,2.97002,5153.86
res_ss_-40c_3.30v,res_ss,-40,3.30,1.79947,49.9854,49996.3,1.02613,11.9124,0.00012165,3.3,3.3,0.000212642,2.39822e-06,1.01811e-05,8.37793e-10,0.00021504,0.000135466,0.00524724,1.79948,1.80864,1.79948,50.5691,3.3,49.9964,2.60079e-09,7.07963e-09,1.70876e-06,3.29999,5247.24
res_ss_-40c_3.63v,res_ss,-40,3.63,1.79941,49.9836,49995.9,1.02614,13.2976,0.000345764,3.63,3.63,0.00048008,2.39822e-06,1.81073e-05,1.30707e-09,0.000482478,0.000385266,0.00530967,1.79941,1.80757,1.79941,50.536,3.63,49.9959,1.11813e-09,1.23433e-08,1.72295e-06,3.63001,5309.67
res_ss_27c_2.97v,res_ss,27,2.97,1.79941,49.9836,49994.1,1.15757,11.631,4.94238e-05,2.97,2.97,0.000122906,2.68513e-06,6.98523e-06,8.11673e-10,0.000125591,5.50216e-05,0.00462065,1.79941,1.80875,1.79941,50.617,2.97,49.9941,2.67056e-09,-6.6691e-10,1.72551e-06,2.97001,4620.65
res_ss_27c_3.30v,res_ss,27,3.30,1.79938,49.9827,49994.7,1.15757,13.1061,0.000134457,3.3,3.3,0.000229894,2.68513e-06,1.02981e-05,1.05554e-09,0.000232579,0.000149728,0.00470517,1.79938,1.80767,1.79938,50.5755,3.3,49.9947,1.20642e-09,6.96845e-09,1.73693e-06,3.29999,4705.17
res_ss_27c_3.63v,res_ss,27,3.63,1.79929,49.9803,49993.8,1.15757,14.6105,0.000360851,3.63,3.63,0.000499893,2.68513e-06,1.83099e-05,1.63133e-09,0.000502578,0.000402079,0.00476713,1.79929,1.80659,1.79929,50.5416,3.63,49.9938,8.66911e-10,9.9043e-09,1.73305e-06,3.63002,4767.13
res_ss_125c_2.97v,res_ss,125,2.97,1.79924,49.9788,49990.5,1.32539,12.9968,0.0126427,2.97,2.97,0.0143961,0.000192532,3.932e-05,4.67486e-09,0.0145886,0.0141316,0.00413502,1.79924,1.80535,1.79924,50.527,2.96996,49.9905,4.07375e-09,5.08825e-07,2.22208e-06,2.97,4135.02
res_ss_125c_3.30v,res_ss,125,3.30,1.7992,49.9776,49990.9,1.3254,14.6049,0.014144,3.3,3.3,0.016084,0.000192532,4.33238e-05,4.80315e-09,0.0162766,0.0158237,0.004209,1.7992,1.80444,1.7992,50.4932,3.29996,49.9909,2.27409e-09,5.73797e-07,2.30829e-06,3.29998,4209
res_ss_125c_3.63v,res_ss,125,3.63,1.79907,49.9741,49989,1.3254,16.244,0.0160272,3.63,3.63,0.0182022,0.000192532,5.20396e-05,5.41432e-09,0.0183948,0.0179582,0.00426653,1.79907,1.80345,1.79907,50.4609,3.62996,49.989,2.74741e-09,6.49901e-07,2.3816e-06,3.62998,4266.53
