device,l_um,w_mm,supply_class,cgg_max_f,cgg_max_corner,cgg_max_temp_c,cgg_max_vin_v,cgg_min_f,cgd_max_f,cgd_max_corner,cgg_per_mm_max_f
pfet_06v0,0.55u,1,dropout_testpoint,1.59806e-12,ss,125,2.10,1.4977e-12,7.5e-13,ss,1.59806e-12
pfet_06v0,0.55u,1,lv,1.63394e-12,ss,-40,3.63,1.50998e-12,8.07338e-13,ss,1.63394e-12
pfet_06v0,0.55u,1,mv,1.63365e-12,ss,-40,4.50,1.50498e-12,8.12172e-13,ss,1.63365e-12
pfet_06v0,0.55u,2,dropout_testpoint,3.19612e-12,ss,125,2.10,2.9954e-12,1.5e-12,ss,1.59806e-12
pfet_06v0,0.55u,2,lv,3.26789e-12,ss,-40,3.63,3.01997e-12,1.61468e-12,ss,1.63394e-12
pfet_06v0,0.55u,2,mv,3.2673e-12,ss,-40,4.50,3.00996e-12,1.62434e-12,ss,1.63365e-12
pfet_06v0,0.55u,4,dropout_testpoint,6.39224e-12,ss,125,2.10,5.9908e-12,3e-12,ss,1.59806e-12
pfet_06v0,0.55u,4,lv,6.53577e-12,ss,-40,3.63,6.03993e-12,3.22935e-12,ss,1.63394e-12
pfet_06v0,0.55u,4,mv,6.53461e-12,ss,-40,4.50,6.01993e-12,3.24869e-12,ss,1.63365e-12
pfet_06v0,0.55u,8,dropout_testpoint,1.27845e-11,ss,125,2.10,1.19816e-11,6e-12,ss,1.59806e-12
pfet_06v0,0.55u,8,lv,1.30715e-11,ss,-40,3.63,1.20799e-11,6.4587e-12,ss,1.63394e-12
pfet_06v0,0.55u,8,mv,1.30692e-11,ss,-40,4.50,1.20399e-11,6.49737e-12,ss,1.63365e-12
pfet_06v0,0.55u,16,dropout_testpoint,2.5569e-11,ss,125,2.10,2.39632e-11,1.2e-11,ss,1.59806e-12
pfet_06v0,0.55u,16,lv,2.61431e-11,ss,-40,3.63,2.41597e-11,1.29174e-11,ss,1.63394e-12
pfet_06v0,0.55u,16,mv,2.61384e-11,ss,-40,4.50,2.40797e-11,1.29947e-11,ss,1.63365e-12
pfet_06v0,0.70u,1,dropout_testpoint,1.87262e-12,ss,125,2.10,1.81158e-12,8.7457e-13,ss,1.87262e-12
pfet_06v0,0.70u,1,lv,1.91814e-12,ss,-40,3.63,1.82803e-12,9.47253e-13,ss,1.91814e-12
pfet_06v0,0.70u,1,mv,1.9178e-12,ss,-40,4.50,1.82191e-12,9.53218e-13,ss,1.9178e-12
pfet_06v0,0.70u,2,dropout_testpoint,3.74523e-12,ss,125,2.10,3.62316e-12,1.74914e-12,ss,1.87262e-12
pfet_06v0,0.70u,2,lv,3.83627e-12,ss,-40,3.63,3.65606e-12,1.89451e-12,ss,1.91814e-12
pfet_06v0,0.70u,2,mv,3.83561e-12,ss,-40,4.50,3.64382e-12,1.90644e-12,ss,1.9178e-12
pfet_06v0,0.70u,4,dropout_testpoint,7.49046e-12,ss,125,2.10,7.24633e-12,3.49828e-12,ss,1.87262e-12
pfet_06v0,0.70u,4,lv,7.67254e-12,ss,-40,3.63,7.31212e-12,3.78901e-12,ss,1.91814e-12
pfet_06v0,0.70u,4,mv,7.67121e-12,ss,-40,4.50,7.28765e-12,3.81287e-12,ss,1.9178e-12
pfet_06v0,0.70u,8,dropout_testpoint,1.49809e-11,ss,125,2.10,1.44927e-11,6.99656e-12,ss,1.87262e-12
pfet_06v0,0.70u,8,lv,1.53451e-11,ss,-40,3.63,1.46242e-11,7.57802e-12,ss,1.91814e-12
pfet_06v0,0.70u,8,mv,1.53424e-11,ss,-40,4.50,1.45753e-11,7.62574e-12,ss,1.9178e-12
pfet_06v0,0.70u,16,dropout_testpoint,2.99618e-11,ss,125,2.10,2.89853e-11,1.39931e-11,ss,1.87262e-12
pfet_06v0,0.70u,16,lv,3.06902e-11,ss,-40,3.63,2.92485e-11,1.5156e-11,ss,1.91814e-12
pfet_06v0,0.70u,16,mv,3.06849e-11,ss,-40,4.50,2.91506e-11,1.52515e-11,ss,1.9178e-12
pfet_06v0,1.20u,1,dropout_testpoint,2.88807e-12,ff,-40,2.10,2.79229e-12,1.37141e-12,ff,2.88807e-12
pfet_06v0,1.20u,1,lv,2.92919e-12,ff,-40,3.30,2.8456e-12,1.44796e-12,ff,2.92919e-12
pfet_06v0,1.20u,1,mv,2.92331e-12,ff,-40,4.50,2.84906e-12,1.45214e-12,ff,2.92331e-12
pfet_06v0,1.20u,2,dropout_testpoint,5.77614e-12,ff,-40,2.10,5.58458e-12,2.74283e-12,ff,2.88807e-12
pfet_06v0,1.20u,2,lv,5.85837e-12,ff,-40,3.30,5.6912e-12,2.89593e-12,ff,2.92919e-12
pfet_06v0,1.20u,2,mv,5.84662e-12,ff,-40,4.50,5.69811e-12,2.90428e-12,ff,2.92331e-12
pfet_06v0,1.20u,4,dropout_testpoint,1.15523e-11,ff,-40,2.10,1.11692e-11,5.48565e-12,ff,2.88807e-12
pfet_06v0,1.20u,4,lv,1.17167e-11,ff,-40,3.30,1.13824e-11,5.79186e-12,ff,2.92919e-12
pfet_06v0,1.20u,4,mv,1.16932e-11,ff,-40,4.50,1.13962e-11,5.80856e-12,ff,2.92331e-12
pfet_06v0,1.20u,8,dropout_testpoint,2.31046e-11,ff,-40,2.10,2.23383e-11,1.09713e-11,ff,2.88807e-12
pfet_06v0,1.20u,8,lv,2.34335e-11,ff,-40,3.30,2.27648e-11,1.15837e-11,ff,2.92919e-12
pfet_06v0,1.20u,8,mv,2.33865e-11,ff,-40,4.50,2.27925e-11,1.16171e-11,ff,2.92331e-12
pfet_06v0,1.20u,16,dropout_testpoint,4.62091e-11,ff,-40,2.10,4.46767e-11,2.19426e-11,ff,2.88807e-12
pfet_06v0,1.20u,16,lv,4.6867e-11,ff,-40,3.30,4.55296e-11,2.31674e-11,ff,2.92919e-12
pfet_06v0,1.20u,16,mv,4.67729e-11,ff,-40,4.50,4.55849e-11,2.32342e-11,ff,2.92331e-12
