device,l_um,w_mm,supply_class,cgg_max_f,cgg_max_corner,cgg_max_temp_c,cgg_max_vin_v,cgg_min_f,cgd_max_f,cgd_max_corner,cgg_per_mm_max_f
pfet_03v3,0.28u,1,dropout_testpoint,1.53442e-12,ss,-40,2.10,1.49381e-12,7.55569e-13,ss,1.53442e-12
pfet_03v3,0.28u,1,lv,1.54809e-12,ss,-40,2.97,1.49081e-12,7.70856e-13,ss,1.54809e-12
pfet_03v3,0.28u,2,dropout_testpoint,3.06884e-12,ss,-40,2.10,2.98761e-12,1.51114e-12,ss,1.53442e-12
pfet_03v3,0.28u,2,lv,3.09619e-12,ss,-40,2.97,2.98162e-12,1.54171e-12,ss,1.54809e-12
pfet_03v3,0.28u,4,dropout_testpoint,6.13767e-12,ss,-40,2.10,5.97523e-12,3.02227e-12,ss,1.53442e-12
pfet_03v3,0.28u,4,lv,6.19238e-12,ss,-40,2.97,5.96324e-12,3.08343e-12,ss,1.54809e-12
pfet_03v3,0.28u,8,dropout_testpoint,1.22753e-11,ss,-40,2.10,1.19505e-11,6.04455e-12,ss,1.53442e-12
pfet_03v3,0.28u,8,lv,1.23848e-11,ss,-40,2.97,1.19265e-11,6.16685e-12,ss,1.54809e-12
pfet_03v3,0.28u,16,dropout_testpoint,2.45507e-11,ss,-40,2.10,2.39009e-11,1.20891e-11,ss,1.53442e-12
pfet_03v3,0.28u,16,lv,2.47695e-11,ss,-40,2.97,2.3853e-11,1.23337e-11,ss,1.54809e-12
pfet_03v3,0.50u,1,dropout_testpoint,2.43222e-12,ff,-40,2.10,2.36008e-12,1.20039e-12,ff,2.43222e-12
pfet_03v3,0.50u,1,lv,2.43909e-12,ff,-40,2.97,2.37971e-12,1.21347e-12,ff,2.43909e-12
pfet_03v3,0.50u,2,dropout_testpoint,4.86444e-12,ff,-40,2.10,4.72015e-12,2.40078e-12,ff,2.43222e-12
pfet_03v3,0.50u,2,lv,4.87819e-12,ff,-40,2.97,4.75942e-12,2.42695e-12,ff,2.43909e-12
pfet_03v3,0.50u,4,dropout_testpoint,9.72887e-12,ff,-40,2.10,9.44031e-12,4.80157e-12,ff,2.43222e-12
pfet_03v3,0.50u,4,lv,9.75638e-12,ff,-40,2.97,9.51883e-12,4.85389e-12,ff,2.43909e-12
pfet_03v3,0.50u,8,dropout_testpoint,1.94577e-11,ff,-40,2.10,1.88806e-11,9.60314e-12,ff,2.43222e-12
pfet_03v3,0.50u,8,lv,1.95128e-11,ff,-40,2.97,1.90377e-11,9.70779e-12,ff,2.43909e-12
pfet_03v3,0.50u,16,dropout_testpoint,3.89155e-11,ff,-40,2.10,3.77612e-11,1.92063e-11,ff,2.43222e-12
pfet_03v3,0.50u,16,lv,3.90255e-11,ff,-40,2.97,3.80753e-11,1.94156e-11,ff,2.43909e-12
pfet_03v3,1.00u,1,dropout_testpoint,4.5522e-12,ff,-40,2.10,4.25212e-12,2.24282e-12,ff,4.5522e-12
pfet_03v3,1.00u,1,lv,4.56597e-12,ff,-40,2.97,4.29191e-12,2.27016e-12,ff,4.56597e-12
pfet_03v3,1.00u,2,dropout_testpoint,9.1044e-12,ff,-40,2.10,8.50424e-12,4.48564e-12,ff,4.5522e-12
pfet_03v3,1.00u,2,lv,9.13195e-12,ff,-40,2.97,8.58382e-12,4.54033e-12,ff,4.56597e-12
pfet_03v3,1.00u,4,dropout_testpoint,1.82088e-11,ff,-40,2.10,1.70085e-11,8.97128e-12,ff,4.5522e-12
pfet_03v3,1.00u,4,lv,1.82639e-11,ff,-40,2.97,1.71676e-11,9.08066e-12,ff,4.56597e-12
pfet_03v3,1.00u,8,dropout_testpoint,3.64176e-11,ff,-40,2.10,3.4017e-11,1.79426e-11,ff,4.5522e-12
pfet_03v3,1.00u,8,lv,3.65278e-11,ff,-40,2.97,3.43353e-11,1.81613e-11,ff,4.56597e-12
pfet_03v3,1.00u,16,dropout_testpoint,7.28352e-11,ff,-40,2.10,6.8034e-11,3.58851e-11,ff,4.5522e-12
pfet_03v3,1.00u,16,lv,7.30556e-11,ff,-40,2.97,6.86706e-11,3.63226e-11,ff,4.56597e-12
pfet_05v0,0.50u,1,dropout_testpoint,1.50741e-12,ss,125,2.10,1.39484e-12,7.08989e-13,ss,1.50741e-12
pfet_05v0,0.50u,1,lv,1.54007e-12,ss,-40,3.63,1.40574e-12,7.61137e-13,ss,1.54007e-12
pfet_05v0,0.50u,1,mv,1.53979e-12,ss,-40,4.50,1.40111e-12,7.65587e-13,ss,1.53979e-12
pfet_05v0,0.50u,2,dropout_testpoint,3.01483e-12,ss,125,2.10,2.78968e-12,1.41798e-12,ss,1.50741e-12
pfet_05v0,0.50u,2,lv,3.08014e-12,ss,-40,3.63,2.81149e-12,1.52227e-12,ss,1.54007e-12
pfet_05v0,0.50u,2,mv,3.07959e-12,ss,-40,4.50,2.80221e-12,1.53117e-12,ss,1.53979e-12
pfet_05v0,0.50u,4,dropout_testpoint,6.02965e-12,ss,125,2.10,5.57936e-12,2.83596e-12,ss,1.50741e-12
pfet_05v0,0.50u,4,lv,6.16029e-12,ss,-40,3.63,5.62298e-12,3.04455e-12,ss,1.54007e-12
pfet_05v0,0.50u,4,mv,6.15917e-12,ss,-40,4.50,5.60443e-12,3.06235e-12,ss,1.53979e-12
pfet_05v0,0.50u,8,dropout_testpoint,1.20593e-11,ss,125,2.10,1.11587e-11,5.67191e-12,ss,1.50741e-12
pfet_05v0,0.50u,8,lv,1.23206e-11,ss,-40,3.63,1.1246e-11,6.0891e-12,ss,1.54007e-12
pfet_05v0,0.50u,8,mv,1.23183e-11,ss,-40,4.50,1.12089e-11,6.1247e-12,ss,1.53979e-12
pfet_05v0,0.50u,16,dropout_testpoint,2.41186e-11,ss,125,2.10,2.23175e-11,1.13438e-11,ss,1.50741e-12
pfet_05v0,0.50u,16,lv,2.46411e-11,ss,-40,3.63,2.24919e-11,1.21782e-11,ss,1.54007e-12
pfet_05v0,0.50u,16,mv,2.46367e-11,ss,-40,4.50,2.24177e-11,1.22494e-11,ss,1.53979e-12
pfet_05v0,0.60u,1,dropout_testpoint,1.68921e-12,ss,125,2.10,1.6016e-12,7.91298e-13,ss,1.68921e-12
pfet_05v0,0.60u,1,lv,1.72831e-12,ss,-40,3.63,1.61527e-12,8.53789e-13,ss,1.72831e-12
pfet_05v0,0.60u,1,mv,1.728e-12,ss,-40,4.50,1.6099e-12,8.59004e-13,ss,1.728e-12
pfet_05v0,0.60u,2,dropout_testpoint,3.37841e-12,ss,125,2.10,3.2032e-12,1.5826e-12,ss,1.68921e-12
pfet_05v0,0.60u,2,lv,3.45662e-12,ss,-40,3.63,3.23054e-12,1.70758e-12,ss,1.72831e-12
pfet_05v0,0.60u,2,mv,3.45601e-12,ss,-40,4.50,3.2198e-12,1.71801e-12,ss,1.728e-12
pfet_05v0,0.60u,4,dropout_testpoint,6.75682e-12,ss,125,2.10,6.4064e-12,3.16519e-12,ss,1.68921e-12
pfet_05v0,0.60u,4,lv,6.91323e-12,ss,-40,3.63,6.46108e-12,3.41516e-12,ss,1.72831e-12
pfet_05v0,0.60u,4,mv,6.91202e-12,ss,-40,4.50,6.4396e-12,3.43601e-12,ss,1.728e-12
pfet_05v0,0.60u,8,dropout_testpoint,1.35136e-11,ss,125,2.10,1.28128e-11,6.33038e-12,ss,1.68921e-12
pfet_05v0,0.60u,8,lv,1.38265e-11,ss,-40,3.63,1.29222e-11,6.83031e-12,ss,1.72831e-12
pfet_05v0,0.60u,8,mv,1.3824e-11,ss,-40,4.50,1.28792e-11,6.87203e-12,ss,1.728e-12
pfet_05v0,0.60u,16,dropout_testpoint,2.70273e-11,ss,125,2.10,2.56256e-11,1.26608e-11,ss,1.68921e-12
pfet_05v0,0.60u,16,lv,2.76529e-11,ss,-40,3.63,2.58443e-11,1.36606e-11,ss,1.72831e-12
pfet_05v0,0.60u,16,mv,2.76481e-11,ss,-40,4.50,2.57584e-11,1.37441e-11,ss,1.728e-12
pfet_05v0,1.00u,1,dropout_testpoint,2.45647e-12,ff,-40,2.10,2.41166e-12,1.16814e-12,ff,2.45647e-12
pfet_05v0,1.00u,1,lv,2.49271e-12,ss,-40,3.63,2.45089e-12,1.23129e-12,ff,2.49271e-12
pfet_05v0,1.00u,1,mv,2.49227e-12,ss,-40,4.50,2.44933e-12,1.23842e-12,ss,2.49227e-12
pfet_05v0,1.00u,2,dropout_testpoint,4.91294e-12,ff,-40,2.10,4.82331e-12,2.33628e-12,ff,2.45647e-12
pfet_05v0,1.00u,2,lv,4.98541e-12,ss,-40,3.63,4.90177e-12,2.46258e-12,ff,2.49271e-12
pfet_05v0,1.00u,2,mv,4.98454e-12,ss,-40,4.50,4.89866e-12,2.47685e-12,ss,2.49227e-12
pfet_05v0,1.00u,4,dropout_testpoint,9.82588e-12,ff,-40,2.10,9.64662e-12,4.67255e-12,ff,2.45647e-12
pfet_05v0,1.00u,4,lv,9.97082e-12,ss,-40,3.63,9.80355e-12,4.92517e-12,ff,2.49271e-12
pfet_05v0,1.00u,4,mv,9.96908e-12,ss,-40,4.50,9.79731e-12,4.9537e-12,ss,2.49227e-12
pfet_05v0,1.00u,8,dropout_testpoint,1.96518e-11,ff,-40,2.10,1.92932e-11,9.34511e-12,ff,2.45647e-12
pfet_05v0,1.00u,8,lv,1.99416e-11,ss,-40,3.63,1.96071e-11,9.85033e-12,ff,2.49271e-12
pfet_05v0,1.00u,8,mv,1.99382e-11,ss,-40,4.50,1.95946e-11,9.90739e-12,ss,2.49227e-12
pfet_05v0,1.00u,16,dropout_testpoint,3.93035e-11,ff,-40,2.10,3.85865e-11,1.86902e-11,ff,2.45647e-12
pfet_05v0,1.00u,16,lv,3.98833e-11,ss,-40,3.63,3.92142e-11,1.97007e-11,ff,2.49271e-12
pfet_05v0,1.00u,16,mv,3.98763e-11,ss,-40,4.50,3.91892e-11,1.98148e-11,ss,2.49227e-12
