device,l_um,w_mm,metric,supply_class,vgs_v,worst_id_a,worst_corner,worst_temp_c,worst_vin_v,best_id_a,best_corner,best_temp_c,best_vin_v,meets_50mA_at_all_corners,meets_100mA_at_all_corners
nfet_03v3,0.28u,4,id_at_drop200mV,dropout_testpoint,0.2,-7.64e-11,ss,-40,2.10,8.36393e-08,ff,125,2.10,no,no
nfet_03v3,0.28u,4,id_at_drop200mV,lv,0.2,-1.376e-10,typical,-40,3.63,1.29445e-08,ff,125,2.97,no,no
nfet_03v3,0.28u,4,id_at_drop300mV,dropout_testpoint,0.3,-7.23985e-11,ss,-40,2.10,1.32605e-06,ff,125,2.10,no,no
nfet_03v3,0.28u,4,id_at_drop300mV,lv,0.3,-1.336e-10,ss,-40,3.63,2.12668e-07,ff,125,2.97,no,no
nfet_03v3,0.50u,1,id_at_drop100mV,dropout_testpoint,0.1,-2.01e-11,typical,-40,2.10,-1.85621e-11,ff,125,2.10,no,no
nfet_03v3,0.50u,1,id_at_drop100mV,lv,0.1,-3.54e-11,typical,-40,3.63,-2.87668e-11,ff,125,2.97,no,no
nfet_03v3,0.50u,1,id_at_drop200mV,dropout_testpoint,0.2,-1.91e-11,typical,-40,2.10,9.98058e-12,ff,125,2.10,no,no
nfet_03v3,0.50u,1,id_at_drop200mV,lv,0.2,-3.44e-11,typical,-40,3.63,-2.71784e-11,ff,125,2.97,no,no
nfet_03v3,0.50u,1,id_at_drop300mV,dropout_testpoint,0.3,-1.81e-11,typical,-40,2.10,5.05586e-10,ff,125,2.10,no,no
nfet_03v3,0.50u,1,id_at_drop300mV,lv,0.3,-3.34e-11,typical,-40,3.63,-1.57173e-11,ff,125,2.97,no,no
nfet_03v3,0.50u,2,id_at_drop100mV,dropout_testpoint,0.1,-4.02e-11,typical,-40,2.10,-3.71242e-11,ff,125,2.10,no,no
nfet_03v3,0.50u,2,id_at_drop100mV,lv,0.1,-7.08e-11,typical,-40,3.63,-5.75337e-11,ff,125,2.97,no,no
nfet_03v3,0.50u,2,id_at_drop200mV,dropout_testpoint,0.2,-3.82e-11,typical,-40,2.10,1.99612e-11,ff,125,2.10,no,no
nfet_03v3,0.50u,2,id_at_drop200mV,lv,0.2,-6.88e-11,typical,-40,3.63,-5.43567e-11,ff,125,2.97,no,no
nfet_03v3,0.50u,2,id_at_drop300mV,dropout_testpoint,0.3,-3.62e-11,typical,-40,2.10,1.01117e-09,ff,125,2.10,no,no
nfet_03v3,0.50u,2,id_at_drop300mV,lv,0.3,-6.68e-11,typical,-40,3.63,-3.14347e-11,ff,125,2.97,no,no
nfet_03v3,0.50u,2,id_at_drop300mV_vgboost0p5V,dropout_testpoint,0.8,-3.28325e-11,ss,-40,2.10,0.00010483,ff,125,2.10,no,no
nfet_03v3,0.50u,2,id_at_drop300mV_vgboost0p5V,lv,0.8,-6.67999e-11,ss,-40,3.63,3.89076e-06,ff,125,2.97,no,no
nfet_03v3,0.50u,2,id_at_drop300mV_vgboost1p0V,dropout_testpoint,1.3,0.000372787,ss,-40,2.10,0.026436,ff,125,2.10,no,no
nfet_03v3,0.50u,2,id_at_drop300mV_vgboost1p0V,lv,1.3,4.79818e-08,ss,-40,3.63,0.0124615,ff,125,2.97,no,no
nfet_03v3,0.50u,2,id_at_drop300mV_vgboost1p5V,dropout_testpoint,1.8,0.0414391,ss,125,2.10,0.119764,ff,-40,2.10,no,no
nfet_03v3,0.50u,2,id_at_drop300mV_vgboost1p5V,lv,1.8,0.0175055,ss,-40,3.63,0.0954386,ff,-40,2.97,no,no
nfet_03v3,0.50u,2,id_at_drop300mV_vgboost2p0V,dropout_testpoint,2.3,0.0782791,ss,125,2.10,0.189309,ff,-40,2.10,yes,no
nfet_03v3,0.50u,2,id_at_drop300mV_vgboost2p0V,lv,2.3,0.0587407,ss,125,3.63,0.171262,ff,-40,2.97,yes,no
nfet_03v3,0.50u,4,id_at_drop100mV,dropout_testpoint,0.1,-8.04e-11,typical,-40,2.10,-7.42483e-11,ff,125,2.10,no,no
nfet_03v3,0.50u,4,id_at_drop100mV,lv,0.1,-1.416e-10,typical,-40,3.63,-1.15067e-10,ff,125,2.97,no,no
nfet_03v3,0.50u,4,id_at_drop200mV,dropout_testpoint,0.2,-7.64e-11,typical,-40,2.10,3.99223e-11,ff,125,2.10,no,no
nfet_03v3,0.50u,4,id_at_drop200mV,lv,0.2,-1.376e-10,typical,-40,3.63,-1.08713e-10,ff,125,2.97,no,no
nfet_03v3,0.50u,4,id_at_drop300mV,dropout_testpoint,0.3,-7.24e-11,typical,-40,2.10,2.02234e-09,ff,125,2.10,no,no
nfet_03v3,0.50u,4,id_at_drop300mV,lv,0.3,-1.336e-10,typical,-40,3.63,-6.28693e-11,ff,125,2.97,no,no
nfet_03v3,1.00u,1,id_at_drop100mV,dropout_testpoint,0.1,-2.01e-11,typical,-40,2.10,-1.98437e-11,ff,125,2.10,no,no
nfet_03v3,1.00u,1,id_at_drop100mV,lv,0.1,-3.54e-11,typical,-40,3.63,-2.87971e-11,ff,125,2.97,no,no
nfet_03v3,1.00u,1,id_at_drop200mV,dropout_testpoint,0.2,-1.91e-11,typical,-40,2.10,-1.40631e-11,ff,125,2.10,no,no
nfet_03v3,1.00u,1,id_at_drop200mV,lv,0.2,-3.44e-11,typical,-40,3.63,-2.77441e-11,ff,125,2.97,no,no
nfet_03v3,1.00u,1,id_at_drop300mV,dropout_testpoint,0.3,-1.81e-11,typical,-40,2.10,7.81824e-11,ff,125,2.10,no,no
nfet_03v3,1.00u,1,id_at_drop300mV,lv,0.3,-3.34e-11,typical,-40,3.63,-2.57409e-11,ff,125,2.97,no,no
nfet_03v3,1.00u,2,id_at_drop100mV,dropout_testpoint,0.1,-4.02e-11,typical,-40,2.10,-3.96875e-11,ff,125,2.10,no,no
nfet_03v3,1.00u,2,id_at_drop100mV,lv,0.1,-7.08e-11,typical,-40,3.63,-5.75943e-11,ff,125,2.97,no,no
nfet_03v3,1.00u,2,id_at_drop200mV,dropout_testpoint,0.2,-3.82e-11,typical,-40,2.10,-2.81263e-11,ff,125,2.10,no,no
nfet_03v3,1.00u,2,id_at_drop200mV,lv,0.2,-6.88e-11,typical,-40,3.63,-5.54883e-11,ff,125,2.97,no,no
nfet_03v3,1.00u,2,id_at_drop300mV,dropout_testpoint,0.3,-3.62e-11,typical,-40,2.10,1.56365e-10,ff,125,2.10,no,no
nfet_03v3,1.00u,2,id_at_drop300mV,lv,0.3,-6.68e-11,typical,-40,3.63,-5.14819e-11,ff,125,2.97,no,no
nfet_03v3,1.00u,2,id_at_drop300mV_vgboost0p5V,dropout_testpoint,0.8,-3.59067e-11,ss,-40,2.10,2.18253e-05,ff,125,2.10,no,no
nfet_03v3,1.00u,2,id_at_drop300mV_vgboost0p5V,lv,0.8,-6.68e-11,ss,-40,3.63,3.87064e-07,ff,125,2.97,no,no
nfet_03v3,1.00u,2,id_at_drop300mV_vgboost1p0V,dropout_testpoint,1.3,6.10217e-05,ss,-40,2.10,0.0116383,ff,125,2.10,no,no
nfet_03v3,1.00u,2,id_at_drop300mV_vgboost1p0V,lv,1.3,4.19016e-10,ss,-40,3.63,0.00378184,ff,125,2.97,no,no
nfet_03v3,1.00u,2,id_at_drop300mV_vgboost1p5V,dropout_testpoint,1.8,0.0202039,ss,125,2.10,0.0649935,ff,-40,2.10,no,no
nfet_03v3,1.00u,2,id_at_drop300mV_vgboost1p5V,lv,1.8,0.00361551,ss,-40,3.63,0.0471539,ff,-40,2.97,no,no
nfet_03v3,1.00u,2,id_at_drop300mV_vgboost2p0V,dropout_testpoint,2.3,0.0404629,ss,125,2.10,0.108943,ff,-40,2.10,no,no
nfet_03v3,1.00u,2,id_at_drop300mV_vgboost2p0V,lv,2.3,0.0272234,ss,125,3.63,0.094722,ff,-40,2.97,no,no
nfet_03v3,1.00u,4,id_at_drop100mV,dropout_testpoint,0.1,-8.04e-11,typical,-40,2.10,-7.93749e-11,ff,125,2.10,no,no
nfet_03v3,1.00u,4,id_at_drop100mV,lv,0.1,-1.416e-10,typical,-40,3.63,-1.15189e-10,ff,125,2.97,no,no
nfet_03v3,1.00u,4,id_at_drop200mV,dropout_testpoint,0.2,-7.64e-11,typical,-40,2.10,-5.62525e-11,ff,125,2.10,no,no
nfet_03v3,1.00u,4,id_at_drop200mV,lv,0.2,-1.376e-10,typical,-40,3.63,-1.10977e-10,ff,125,2.97,no,no
nfet_03v3,1.00u,4,id_at_drop300mV,dropout_testpoint,0.3,-7.24e-11,typical,-40,2.10,3.12729e-10,ff,125,2.10,no,no
nfet_03v3,1.00u,4,id_at_drop300mV,lv,0.3,-1.336e-10,typical,-40,3.63,-1.02964e-10,ff,125,2.97,no,no
nfet_06v0,0.60u,1,id_at_drop100mV,dropout_testpoint,0.1,-2.01e-11,typical,-40,2.10,-1.94461e-11,ff,125,2.10,no,no
nfet_06v0,0.60u,1,id_at_drop100mV,lv,0.1,-3.54e-11,typical,-40,3.63,-2.87817e-11,ff,125,2.97,no,no
nfet_06v0,0.60u,1,id_at_drop100mV,mv,0.1,-5.41e-11,typical,-40,5.50,-4.40997e-11,ff,125,4.50,no,no
nfet_06v0,0.60u,1,id_at_drop200mV,dropout_testpoint,0.2,-1.91e-11,typical,-40,2.10,-6.37436e-12,ff,125,2.10,no,no
nfet_06v0,0.60u,1,id_at_drop200mV,lv,0.2,-3.44e-11,typical,-40,3.63,-2.74599e-11,ff,125,2.97,no,no
nfet_06v0,0.60u,1,id_at_drop200mV,mv,0.2,-5.31e-11,typical,-40,5.50,-4.30956e-11,ff,125,4.50,no,no
nfet_06v0,0.60u,1,id_at_drop300mV,dropout_testpoint,0.3,-1.81e-11,typical,-40,2.10,2.19991e-10,ff,125,2.10,no,no
nfet_06v0,0.60u,1,id_at_drop300mV,lv,0.3,-3.34e-11,typical,-40,3.63,-2.0695e-11,ff,125,2.97,no,no
nfet_06v0,0.60u,1,id_at_drop300mV,mv,0.3,-5.21e-11,typical,-40,5.50,-4.20273e-11,ff,125,4.50,no,no
nfet_06v0,0.60u,2,id_at_drop100mV,dropout_testpoint,0.1,-4.02e-11,typical,-40,2.10,-3.88922e-11,ff,125,2.10,no,no
nfet_06v0,0.60u,2,id_at_drop100mV,lv,0.1,-7.08e-11,typical,-40,3.63,-5.75634e-11,ff,125,2.97,no,no
nfet_06v0,0.60u,2,id_at_drop100mV,mv,0.1,-1.082e-10,typical,-40,5.50,-8.81995e-11,ff,125,4.50,no,no
nfet_06v0,0.60u,2,id_at_drop200mV,dropout_testpoint,0.2,-3.82e-11,typical,-40,2.10,-1.27487e-11,ff,125,2.10,no,no
nfet_06v0,0.60u,2,id_at_drop200mV,lv,0.2,-6.88e-11,typical,-40,3.63,-5.49197e-11,ff,125,2.97,no,no
nfet_06v0,0.60u,2,id_at_drop200mV,mv,0.2,-1.062e-10,typical,-40,5.50,-8.61913e-11,ff,125,4.50,no,no
nfet_06v0,0.60u,2,id_at_drop300mV,dropout_testpoint,0.3,-3.62e-11,typical,-40,2.10,4.39982e-10,ff,125,2.10,no,no
nfet_06v0,0.60u,2,id_at_drop300mV,lv,0.3,-6.68e-11,typical,-40,3.63,-4.13899e-11,ff,125,2.97,no,no
nfet_06v0,0.60u,2,id_at_drop300mV,mv,0.3,-1.042e-10,typical,-40,5.50,-8.40545e-11,ff,125,4.50,no,no
nfet_06v0,0.60u,2,id_at_drop300mV_vgboost0p5V,dropout_testpoint,0.8,-3.58961e-11,ss,-40,2.10,3.16404e-05,ff,125,2.10,no,no
nfet_06v0,0.60u,2,id_at_drop300mV_vgboost0p5V,lv,0.8,-6.68e-11,ss,-40,3.63,1.23292e-06,ff,125,2.97,no,no
nfet_06v0,0.60u,2,id_at_drop300mV_vgboost0p5V,mv,0.8,-1.042e-10,typical,-40,5.50,1.85618e-08,ff,125,4.50,no,no
nfet_06v0,0.60u,2,id_at_drop300mV_vgboost1p0V,dropout_testpoint,1.3,3.03644e-05,ss,-40,2.10,0.016954,ff,125,2.10,no,no
nfet_06v0,0.60u,2,id_at_drop300mV_vgboost1p0V,lv,1.3,5.03423e-09,ss,-40,3.63,0.00673801,ff,125,2.97,no,no
nfet_06v0,0.60u,2,id_at_drop300mV_vgboost1p0V,mv,1.3,-9.87544e-11,ss,-40,5.50,0.000813752,ff,125,4.50,no,no
nfet_06v0,0.60u,2,id_at_drop300mV_vgboost1p5V,dropout_testpoint,1.8,0.0233233,ss,125,2.10,0.0864891,ff,-40,2.10,no,no
nfet_06v0,0.60u,2,id_at_drop300mV_vgboost1p5V,lv,1.8,0.00686003,ss,-40,3.63,0.0685333,ff,-40,2.97,no,no
nfet_06v0,0.60u,2,id_at_drop300mV_vgboost1p5V,mv,1.8,0.000454089,ss,-40,5.50,0.0482347,ff,-40,4.50,no,no
nfet_06v0,0.60u,2,id_at_drop300mV_vgboost2p0V,dropout_testpoint,2.3,0.0516283,ss,125,2.10,0.152791,ff,-40,2.10,yes,no
nfet_06v0,0.60u,2,id_at_drop300mV_vgboost2p0V,lv,2.3,0.0360494,ss,125,3.63,0.138579,ff,-40,2.97,no,no
nfet_06v0,0.60u,2,id_at_drop300mV_vgboost2p0V,mv,2.3,0.023111,ss,125,5.50,0.123874,ff,-40,4.50,no,no
nfet_06v0,0.60u,4,id_at_drop100mV,dropout_testpoint,0.1,-8.04e-11,typical,-40,2.10,-7.77845e-11,ff,125,2.10,no,no
nfet_06v0,0.60u,4,id_at_drop100mV,lv,0.1,-1.416e-10,typical,-40,3.63,-1.15127e-10,ff,125,2.97,no,no
nfet_06v0,0.60u,4,id_at_drop100mV,mv,0.1,-2.164e-10,typical,-40,5.50,-1.76399e-10,ff,125,4.50,no,no
nfet_06v0,0.60u,4,id_at_drop200mV,dropout_testpoint,0.2,-7.64e-11,typical,-40,2.10,-2.54974e-11,ff,125,2.10,no,no
nfet_06v0,0.60u,4,id_at_drop200mV,lv,0.2,-1.376e-10,typical,-40,3.63,-1.09839e-10,ff,125,2.97,no,no
nfet_06v0,0.60u,4,id_at_drop200mV,mv,0.2,-2.124e-10,typical,-40,5.50,-1.72383e-10,ff,125,4.50,no,no
nfet_06v0,0.60u,4,id_at_drop300mV,dropout_testpoint,0.3,-7.24e-11,typical,-40,2.10,8.79963e-10,ff,125,2.10,no,no
nfet_06v0,0.60u,4,id_at_drop300mV,lv,0.3,-1.336e-10,typical,-40,3.63,-8.27799e-11,ff,125,2.97,no,no
nfet_06v0,0.60u,4,id_at_drop300mV,mv,0.3,-2.084e-10,typical,-40,5.50,-1.68109e-10,ff,125,4.50,no,no
nfet_06v0,0.80u,1,id_at_drop100mV,dropout_testpoint,0.1,-2.01e-11,typical,-40,2.10,-2.00782e-11,ff,125,2.10,no,no
nfet_06v0,0.80u,1,id_at_drop100mV,lv,0.1,-3.54e-11,typical,-40,3.63,-2.87998e-11,ff,125,2.97,no,no
nfet_06v0,0.80u,1,id_at_drop100mV,mv,0.1,-5.41e-11,typical,-40,5.50,-4.41e-11,typical,-40,4.50,no,no
nfet_06v0,0.80u,1,id_at_drop200mV,dropout_testpoint,0.2,-1.91e-11,typical,-40,2.10,-1.86568e-11,ff,125,2.10,no,no
nfet_06v0,0.80u,1,id_at_drop200mV,lv,0.2,-3.44e-11,typical,-40,3.63,-2.77968e-11,ff,125,2.97,no,no
nfet_06v0,0.80u,1,id_at_drop200mV,mv,0.2,-5.31e-11,typical,-40,5.50,-4.31e-11,typical,-40,4.50,no,no
nfet_06v0,0.80u,1,id_at_drop300mV,dropout_testpoint,0.3,-1.81e-11,typical,-40,2.10,-9.35792e-12,ff,125,2.10,no,no
nfet_06v0,0.80u,1,id_at_drop300mV,lv,0.3,-3.34e-11,typical,-40,3.63,-2.67395e-11,ff,125,2.97,no,no
nfet_06v0,0.80u,1,id_at_drop300mV,mv,0.3,-5.21e-11,typical,-40,5.50,-4.20999e-11,ff,125,4.50,no,no
nfet_06v0,0.80u,2,id_at_drop100mV,dropout_testpoint,0.1,-4.02e-11,typical,-40,2.10,-4.01563e-11,ff,125,2.10,no,no
nfet_06v0,0.80u,2,id_at_drop100mV,lv,0.1,-7.08e-11,typical,-40,3.63,-5.75997e-11,ff,125,2.97,no,no
nfet_06v0,0.80u,2,id_at_drop100mV,mv,0.1,-1.082e-10,typical,-40,5.50,-8.82e-11,typical,-40,4.50,no,no
nfet_06v0,0.80u,2,id_at_drop200mV,dropout_testpoint,0.2,-3.82e-11,typical,-40,2.10,-3.73135e-11,ff,125,2.10,no,no
nfet_06v0,0.80u,2,id_at_drop200mV,lv,0.2,-6.88e-11,typical,-40,3.63,-5.55936e-11,ff,125,2.97,no,no
nfet_06v0,0.80u,2,id_at_drop200mV,mv,0.2,-1.062e-10,typical,-40,5.50,-8.62e-11,typical,-40,4.50,no,no
nfet_06v0,0.80u,2,id_at_drop300mV,dropout_testpoint,0.3,-3.62e-11,typical,-40,2.10,-1.87158e-11,ff,125,2.10,no,no
nfet_06v0,0.80u,2,id_at_drop300mV,lv,0.3,-6.68e-11,typical,-40,3.63,-5.3479e-11,ff,125,2.97,no,no
nfet_06v0,0.80u,2,id_at_drop300mV,mv,0.3,-1.042e-10,typical,-40,5.50,-8.41999e-11,ff,125,4.50,no,no
nfet_06v0,0.80u,2,id_at_drop300mV_vgboost0p5V,dropout_testpoint,0.8,-3.61912e-11,ss,-40,2.10,1.52636e-06,ff,125,2.10,no,no
nfet_06v0,0.80u,2,id_at_drop300mV_vgboost0p5V,lv,0.8,-6.68e-11,typical,-40,3.63,1.49341e-08,ff,125,2.97,no,no
nfet_06v0,0.80u,2,id_at_drop300mV_vgboost0p5V,mv,0.8,-1.042e-10,typical,-40,5.50,-6.609e-11,ff,125,4.50,no,no
nfet_06v0,0.80u,2,id_at_drop300mV_vgboost1p0V,dropout_testpoint,1.3,1.39297e-06,ss,-40,2.10,0.0058487,ff,125,2.10,no,no
nfet_06v0,0.80u,2,id_at_drop300mV_vgboost1p0V,lv,1.3,-5.35457e-11,ss,-40,3.63,0.000623179,ff,125,2.97,no,no
nfet_06v0,0.80u,2,id_at_drop300mV_vgboost1p0V,mv,1.3,-1.042e-10,ss,-40,5.50,2.65654e-06,ff,125,4.50,no,no
nfet_06v0,0.80u,2,id_at_drop300mV_vgboost1p5V,dropout_testpoint,1.8,0.0141153,ss,125,2.10,0.0493498,ff,-40,2.10,no,no
nfet_06v0,0.80u,2,id_at_drop300mV_vgboost1p5V,lv,1.8,0.000626127,ss,-40,3.63,0.0300081,ff,-40,2.97,no,no
nfet_06v0,0.80u,2,id_at_drop300mV_vgboost1p5V,mv,1.8,2.18811e-07,ss,-40,5.50,0.00798395,ff,-40,4.50,no,no
nfet_06v0,0.80u,2,id_at_drop300mV_vgboost2p0V,dropout_testpoint,2.3,0.0352808,ss,125,2.10,0.101249,ff,-40,2.10,no,no
nfet_06v0,0.80u,2,id_at_drop300mV_vgboost2p0V,lv,2.3,0.0210125,ss,125,3.63,0.0844936,ff,-40,2.97,no,no
nfet_06v0,0.80u,2,id_at_drop300mV_vgboost2p0V,mv,2.3,0.00806542,ss,125,5.50,0.0613201,ff,-40,4.50,no,no
nfet_06v0,0.80u,4,id_at_drop100mV,dropout_testpoint,0.1,-8.04e-11,typical,-40,2.10,-8.03127e-11,ff,125,2.10,no,no
nfet_06v0,0.80u,4,id_at_drop100mV,lv,0.1,-1.416e-10,typical,-40,3.63,-1.15199e-10,ff,125,2.97,no,no
nfet_06v0,0.80u,4,id_at_drop100mV,mv,0.1,-2.164e-10,typical,-40,5.50,-1.764e-10,typical,-40,4.50,no,no
nfet_06v0,0.80u,4,id_at_drop200mV,dropout_testpoint,0.2,-7.64e-11,typical,-40,2.10,-7.4627e-11,ff,125,2.10,no,no
nfet_06v0,0.80u,4,id_at_drop200mV,lv,0.2,-1.376e-10,typical,-40,3.63,-1.11187e-10,ff,125,2.97,no,no
nfet_06v0,0.80u,4,id_at_drop200mV,mv,0.2,-2.124e-10,typical,-40,5.50,-1.724e-10,typical,-40,4.50,no,no
nfet_06v0,0.80u,4,id_at_drop300mV,dropout_testpoint,0.3,-7.24e-11,typical,-40,2.10,-3.74317e-11,ff,125,2.10,no,no
nfet_06v0,0.80u,4,id_at_drop300mV,lv,0.3,-1.336e-10,typical,-40,3.63,-1.06958e-10,ff,125,2.97,no,no
nfet_06v0,0.80u,4,id_at_drop300mV,mv,0.3,-2.084e-10,typical,-40,5.50,-1.684e-10,typical,-40,4.50,no,no
nfet_06v0,1.20u,1,id_at_drop100mV,dropout_testpoint,0.1,-2.01e-11,typical,-40,2.10,-2.00962e-11,ff,125,2.10,no,no
nfet_06v0,1.20u,1,id_at_drop100mV,lv,0.1,-3.54e-11,typical,-40,3.63,-2.88e-11,typical,-40,2.97,no,no
nfet_06v0,1.20u,1,id_at_drop100mV,mv,0.1,-5.41e-11,typical,-40,5.50,-4.41e-11,typical,-40,4.50,no,no
nfet_06v0,1.20u,1,id_at_drop200mV,dropout_testpoint,0.2,-1.91e-11,typical,-40,2.10,-1.90183e-11,ff,125,2.10,no,no
nfet_06v0,1.20u,1,id_at_drop200mV,lv,0.2,-3.44e-11,typical,-40,3.63,-2.77997e-11,ff,125,2.97,no,no
nfet_06v0,1.20u,1,id_at_drop200mV,mv,0.2,-5.31e-11,typical,-40,5.50,-4.31e-11,typical,-40,4.50,no,no
nfet_06v0,1.20u,1,id_at_drop300mV,dropout_testpoint,0.3,-1.81e-11,typical,-40,2.10,-1.63915e-11,ff,125,2.10,no,no
nfet_06v0,1.20u,1,id_at_drop300mV,lv,0.3,-3.34e-11,typical,-40,3.63,-2.67947e-11,ff,125,2.97,no,no
nfet_06v0,1.20u,1,id_at_drop300mV,mv,0.3,-5.21e-11,typical,-40,5.50,-4.21e-11,typical,-40,4.50,no,no
nfet_06v0,1.20u,2,id_at_drop100mV,dropout_testpoint,0.1,-4.02e-11,typical,-40,2.10,-4.01924e-11,ff,125,2.10,no,no
nfet_06v0,1.20u,2,id_at_drop100mV,lv,0.1,-7.08e-11,typical,-40,3.63,-5.76e-11,typical,-40,2.97,no,no
nfet_06v0,1.20u,2,id_at_drop100mV,mv,0.1,-1.082e-10,typical,-40,5.50,-8.82e-11,typical,-40,4.50,no,no
nfet_06v0,1.20u,2,id_at_drop200mV,dropout_testpoint,0.2,-3.82e-11,typical,-40,2.10,-3.80366e-11,ff,125,2.10,no,no
nfet_06v0,1.20u,2,id_at_drop200mV,lv,0.2,-6.88e-11,typical,-40,3.63,-5.55995e-11,ff,125,2.97,no,no
nfet_06v0,1.20u,2,id_at_drop200mV,mv,0.2,-1.062e-10,typical,-40,5.50,-8.62e-11,typical,-40,4.50,no,no
nfet_06v0,1.20u,2,id_at_drop300mV,dropout_testpoint,0.3,-3.62e-11,typical,-40,2.10,-3.2783e-11,ff,125,2.10,no,no
nfet_06v0,1.20u,2,id_at_drop300mV,lv,0.3,-6.68e-11,typical,-40,3.63,-5.35894e-11,ff,125,2.97,no,no
nfet_06v0,1.20u,2,id_at_drop300mV,mv,0.3,-1.042e-10,typical,-40,5.50,-8.42e-11,typical,-40,4.50,no,no
nfet_06v0,1.20u,2,id_at_drop300mV_vgboost0p5V,dropout_testpoint,0.8,-3.61989e-11,ss,-40,2.10,3.25754e-07,ff,125,2.10,no,no
nfet_06v0,1.20u,2,id_at_drop300mV_vgboost0p5V,lv,0.8,-6.68e-11,typical,-40,3.63,1.3905e-09,ff,125,2.97,no,no
nfet_06v0,1.20u,2,id_at_drop300mV_vgboost0p5V,mv,0.8,-1.042e-10,typical,-40,5.50,-8.38424e-11,ff,125,4.50,no,no
nfet_06v0,1.20u,2,id_at_drop300mV_vgboost1p0V,dropout_testpoint,1.3,2.06419e-07,ss,-40,2.10,0.00249519,ff,125,2.10,no,no
nfet_06v0,1.20u,2,id_at_drop300mV_vgboost1p0V,lv,1.3,-6.65199e-11,ss,-40,3.63,0.000101587,ff,125,2.97,no,no
nfet_06v0,1.20u,2,id_at_drop300mV_vgboost1p0V,mv,1.3,-1.042e-10,typical,-40,5.50,6.58771e-08,ff,125,4.50,no,no
nfet_06v0,1.20u,2,id_at_drop300mV_vgboost1p5V,dropout_testpoint,1.8,0.00836261,ss,-40,2.10,0.0289617,ff,-40,2.10,no,no
