device,l_um,w_mm,metric,supply_class,vgs_v,worst_id_a,worst_corner,worst_temp_c,worst_vin_v,best_id_a,best_corner,best_temp_c,best_vin_v,meets_50mA_at_all_corners,meets_100mA_at_all_corners
nfet_03v3,0.28u,1,id_at_drop100mV,dropout_testpoint,0.1,-2.01e-11,typical,-40,2.10,1.20144e-09,ff,125,2.10,no,no
nfet_03v3,0.28u,1,id_at_drop100mV,lv,0.1,-3.54e-11,typical,-40,3.63,1.57827e-10,ff,125,2.97,no,no
nfet_03v3,0.28u,1,id_at_drop200mV,dropout_testpoint,0.2,-1.91e-11,ss,-40,2.10,2.09098e-08,ff,125,2.10,no,no
nfet_03v3,0.28u,1,id_at_drop200mV,lv,0.2,-3.44e-11,typical,-40,3.63,3.23612e-09,ff,125,2.97,no,no
nfet_03v3,0.28u,1,id_at_drop300mV,dropout_testpoint,0.3,-1.80996e-11,ss,-40,2.10,3.31512e-07,ff,125,2.10,no,no
nfet_03v3,0.28u,1,id_at_drop300mV,lv,0.3,-3.34e-11,ss,-40,3.63,5.31671e-08,ff,125,2.97,no,no
nfet_03v3,0.28u,2,id_at_drop100mV,dropout_testpoint,0.1,-4.02e-11,typical,-40,2.10,2.40288e-09,ff,125,2.10,no,no
nfet_03v3,0.28u,2,id_at_drop100mV,lv,0.1,-7.08e-11,typical,-40,3.63,3.15653e-10,ff,125,2.97,no,no
nfet_03v3,0.28u,2,id_at_drop200mV,dropout_testpoint,0.2,-3.82e-11,ss,-40,2.10,4.18196e-08,ff,125,2.10,no,no
nfet_03v3,0.28u,2,id_at_drop200mV,lv,0.2,-6.88e-11,typical,-40,3.63,6.47224e-09,ff,125,2.97,no,no
nfet_03v3,0.28u,2,id_at_drop300mV,dropout_testpoint,0.3,-3.61993e-11,ss,-40,2.10,6.63025e-07,ff,125,2.10,no,no
nfet_03v3,0.28u,2,id_at_drop300mV,lv,0.3,-6.68e-11,ss,-40,3.63,1.06334e-07,ff,125,2.97,no,no
nfet_03v3,0.28u,2,id_at_drop300mV_vgboost0p5V,dropout_testpoint,0.8,3.49267e-07,ss,-40,2.10,0.00860522,ff,125,2.10,no,no
nfet_03v3,0.28u,2,id_at_drop300mV_vgboost0p5V,lv,0.8,3.70482e-09,ss,-40,3.63,0.00386764,ff,125,2.97,no,no
nfet_03v3,0.28u,2,id_at_drop300mV_vgboost1p0V,dropout_testpoint,1.3,0.0318803,ss,-40,2.10,0.108038,ff,-40,2.10,no,no
nfet_03v3,0.28u,2,id_at_drop300mV_vgboost1p0V,lv,1.3,0.0129119,ss,-40,3.63,0.0902683,ff,-40,2.97,no,no
nfet_03v3,0.28u,2,id_at_drop300mV_vgboost1p5V,dropout_testpoint,1.8,0.0958086,ss,125,2.10,0.23203,ff,-40,2.10,yes,no
nfet_03v3,0.28u,2,id_at_drop300mV_vgboost1p5V,lv,1.8,0.0810612,ss,125,3.63,0.219062,ff,-40,2.97,yes,no
nfet_03v3,0.28u,2,id_at_drop300mV_vgboost2p0V,dropout_testpoint,2.3,0.144167,ss,125,2.10,0.313806,ff,-40,2.10,yes,yes
nfet_03v3,0.28u,2,id_at_drop300mV_vgboost2p0V,lv,2.3,0.131324,ss,125,3.63,0.304187,ff,-40,2.97,yes,yes
nfet_03v3,0.28u,4,id_at_drop100mV,dropout_testpoint,0.1,-8.04e-11,typical,-40,2.10,4.80576e-09,ff,125,2.10,no,no
nfet_03v3,0.28u,4,id_at_drop100mV,lv,0.1,-1.416e-10,typical,-40,3.63,6.31306e-10,ff,125,2.97,no,no
