* AC-resolution convergence probe (issue #58). Derived evidence for
* record 20260802-204343-e912fbd; NOT a sweep record of its own.
* corner=ss_-40c_3.63v iload=0.1mA ceff=4.7uF esr=1mohm
* ac dec 4000 0.01 1e9 -- this is the ONE point of 4536 where the
* dec 50 -> dec 400 comparison moved a gain margin by more than
* 0.1 dB (45.68 dB -> 42.38 dB). Re-probed at three resolutions to
* establish which reading is converged: dec 50 finds one -180 deg
* crossing (2.42 MHz), dec 400 and dec 4000 both find an earlier one
* at 871 kHz that dec 50 stepped over.
* the two printed columns after the frequency are |T| in dB and
* unwrapped phase(T) in degrees

Note: Compatibility modes selected: hs a


Circuit: * loop-stability -- tian dual-injection loop-gain testbench for ldo_core (issue #10)

* corner_id=ss_-40c_3.63v corner=ss temp_c=-40 vin_v=3.63
* ac sweep: dec 4000 0.01 1e9 ; Tian dual injection at ERRAMP_OUT->PASS_GATE
* columns: ROW iload_a= ceff_f= esr_ohm= vout_v= dcgain_db= f0_hz= phase_at_f0_deg=
*          f180_hz= gain_at_f180_db= f0_rising_hz= resurgence_db=
* (phase margin = 180 + phase_at_f0_deg ; gain margin = -gain_at_f180_db ;
*  resurgence_db = max |T| in dB above the first 0 dB crossing, DR-0008 ;
*  an empty f180/gain field means the phase never reaches -180 deg in band)
* Fields are written key=value BECAUSE a failed meas leaves its value
* empty: with bare positional fields an empty one vanishes into the
* whitespace and every field after it is read as the wrong quantity.
Doing analysis at TEMP = -40.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver
 Reference value :  0.00000e+00
No. of Data Rows : 1
Doing analysis at TEMP = -40.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver
 Reference value :  1.00000e-02
 Reference value :  2.23872e-01
 Reference value :  4.64515e+00
 Reference value :  8.43335e+01
 Reference value :  2.17520e+03
 Reference value :  7.00648e+04
 Reference value :  1.35129e+06
 Reference value :  3.01821e+07
 Reference value :  6.12350e+08
No. of Data Rows : 44002
Doing analysis at TEMP = -40.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver
 Reference value :  1.00000e-02
 Reference value :  6.51628e-01
 Reference value :  2.12324e+01
 Reference value :  5.22096e+02
 Reference value :  9.32717e+03
 Reference value :  1.79473e+05
 Reference value :  3.29800e+06
 Reference value :  6.84305e+07
No. of Data Rows : 44002
dcg                 =  1.44226e+02
f0                  =  1.42656e+04
phx                 =  -1.01448e+02
f180                =  8.71370e+05
gmx                 =  -4.23794e+01
 meas ac f0r when tdb=0 rise=1 failed!

tres                =  -9.12530e-03 at=  1.42807e+04
* loop-stability -- tian dual-injection loop-gain testbench for ldo_core (issue #10)
AC Analysis  Sun Aug  2 13:44:09  2026
--------------------------------------------------------------------------------
Index   frequency       tdb             tph             
--------------------------------------------------------------------------------
0	1.000000e-02	1.442260e+02	-6.68303e-01	
1	1.000576e-02	1.442260e+02	-6.68688e-01	
2	1.001152e-02	1.442260e+02	-6.69073e-01	
3	1.001728e-02	1.442260e+02	-6.69458e-01	
4	1.002305e-02	1.442260e+02	-6.69844e-01	
5	1.002882e-02	1.442260e+02	-6.70229e-01	
6	1.003460e-02	1.442260e+02	-6.70615e-01	
7	1.004038e-02	1.442260e+02	-6.71001e-01	
8	1.004616e-02	1.442260e+02	-6.71388e-01	
9	1.005194e-02	1.442260e+02	-6.71774e-01	
10	1.005773e-02	1.442260e+02	-6.72161e-01	
11	1.006352e-02	1.442260e+02	-6.72548e-01	
12	1.006932e-02	1.442260e+02	-6.72936e-01	
13	1.007511e-02	1.442260e+02	-6.73323e-01	
14	1.008092e-02	1.442260e+02	-6.73711e-01	
15	1.008672e-02	1.442260e+02	-6.74099e-01	
16	1.009253e-02	1.442260e+02	-6.74487e-01	
17	1.009834e-02	1.442260e+02	-6.74875e-01	
18	1.010416e-02	1.442260e+02	-6.75264e-01	
19	1.010997e-02	1.442260e+02	-6.75653e-01	
20	1.011579e-02	1.442260e+02	-6.76042e-01	
21	1.012162e-02	1.442260e+02	-6.76431e-01	
22	1.012745e-02	1.442260e+02	-6.76820e-01	
23	1.013328e-02	1.442260e+02	-6.77210e-01	
24	1.013911e-02	1.442260e+02	-6.77600e-01	
25	1.014495e-02	1.442260e+02	-6.77990e-01	
26	1.015079e-02	1.442260e+02	-6.78380e-01	
27	1.015664e-02	1.442260e+02	-6.78771e-01	
28	1.016249e-02	1.442260e+02	-6.79162e-01	
29	1.016834e-02	1.442260e+02	-6.79553e-01	
30	1.017419e-02	1.442260e+02	-6.79944e-01	
31	1.018005e-02	1.442260e+02	-6.80336e-01	
32	1.018591e-02	1.442260e+02	-6.80728e-01	
33	1.019178e-02	1.442260e+02	-6.81119e-01	
34	1.019765e-02	1.442260e+02	-6.81512e-01	
35	1.020352e-02	1.442260e+02	-6.81904e-01	
36	1.020939e-02	1.442260e+02	-6.82297e-01	
37	1.021527e-02	1.442260e+02	-6.82690e-01	
38	1.022116e-02	1.442260e+02	-6.83083e-01	
39	1.022704e-02	1.442260e+02	-6.83476e-01	
40	1.023293e-02	1.442260e+02	-6.83870e-01	
41	1.023882e-02	1.442260e+02	-6.84263e-01	
42	1.024472e-02	1.442260e+02	-6.84657e-01	
43	1.025062e-02	1.442260e+02	-6.85052e-01	
44	1.025652e-02	1.442260e+02	-6.85446e-01	
45	1.026243e-02	1.442260e+02	-6.85841e-01	
46	1.026833e-02	1.442260e+02	-6.86236e-01	
47	1.027425e-02	1.442260e+02	-6.86631e-01	
48	1.028016e-02	1.442260e+02	-6.87026e-01	
49	1.028608e-02	1.442260e+02	-6.87422e-01	
