corner_id,iload_ma,ceff_uf,esr_ohm,base_f_crossover_hz,base_phase_margin_deg,base_f_180_hz,base_gain_margin_db,base_f0_rising_hz,base_result,new_f_crossover_hz,new_phase_margin_deg,new_f_180_hz,new_gain_margin_db,new_f0_rising_hz,new_resurgence_db,new_result,d_phase_margin_deg_raw,d_phase_margin_deg_unwrapped,f_crossover_ratio,class
fs_-40c_3.63v,0.1,0.33,0.001,283127,71.71,,inf,672510,PASS,287004,71.24,767188,-12.34,643084,17.62,FAIL,-0.47,-0.47,1.014,gm-only
fs_-40c_3.63v,0.1,0.33,0.05,283278,73.35,,inf,671998,PASS,287174,72.90,768747,-12.68,642383,17.66,FAIL,-0.45,-0.45,1.014,gm-only
fs_-40c_3.63v,0.1,0.33,0.2,285575,78.25,,inf,664786,PASS,289741,77.85,773334,-14.01,634558,18.12,FAIL,-0.40,-0.40,1.015,gm-only
fs_-40c_3.63v,0.1,1,0.001,80881.5,89.01,,inf,771053,PASS,80964.7,88.97,768074,-2.88,752223,7.996,FAIL,-0.04,-0.04,1.001,gm-only
fs_-40c_3.63v,0.1,1,0.05,80911.5,90.43,,inf,770089,PASS,80994.9,90.40,772691,-4.15,750115,8.391,FAIL,-0.03,-0.03,1.001,gm-only
fs_-40c_3.63v,0.1,1,0.5,84060.7,103.49,,inf,709141,PASS,84163.6,103.46,790696,-16.05,685233,16.79,FAIL,-0.02,-0.02,1.001,gm-only
fs_-40c_3.63v,0.1,4.7,0.001,14236.7,76.33,,inf,,PASS,14237.2,76.33,772917,9.33,,-0.5517,FAIL,-0.00,-0.00,1,gm-only
fs_-40c_3.63v,0.1,4.7,0.2,14284.6,81.20,,inf,771314,PASS,14285.1,81.20,794294,-8.72,751005,8.726,FAIL,-0.00,-0.00,1,gm-only
fs_-40c_3.63v,0.1,4.7,0.5,14546.9,88.88,,inf,719336,PASS,14547.6,88.88,799395,-14.67,695213,16.22,FAIL,-0.00,-0.00,1,gm-only
fs_-40c_3.63v,1,0.33,0.001,1.12943e+06,205.17,,inf,,PASS,1.11024e+06,-150.88,766805,-32.65,,-3.709,FAIL,-356.05,3.95,0.983,pm-wrap-360
fs_-40c_3.63v,1,0.33,0.05,1.13074e+06,211.68,,inf,,PASS,1.11176e+06,-144.49,767707,-32.63,,-3.632,FAIL,-356.17,3.83,0.9832,pm-wrap-360
fs_-40c_3.63v,1,0.33,0.2,1.14958e+06,229.91,,inf,,PASS,1.13119e+06,-126.68,770364,-32.85,,-2.709,FAIL,-356.59,3.41,0.984,pm-wrap-360
fs_-40c_3.63v,1,0.33,0.5,1.23556e+06,253.91,,inf,,PASS,1.21535e+06,-103.28,774599,-34.31,,-3.044,FAIL,-357.18,2.82,0.9836,pm-wrap-360
fs_-40c_3.63v,1,1,0.001,954775,209.98,,inf,,PASS,936300,-143.55,766955,-23.00,,-4.193,FAIL,-353.53,6.47,0.9806,pm-wrap-360
fs_-40c_3.63v,1,1,0.05,960325,226.30,,inf,,PASS,941651,-127.68,769628,-23.09,,-3.739,FAIL,-353.98,6.02,0.9806,pm-wrap-360
fs_-40c_3.63v,1,1,0.2,1.02068e+06,260.12,,inf,,PASS,1.00009e+06,-95.45,775747,-25.36,,-4.324,FAIL,-355.57,4.43,0.9798,pm-wrap-360
fs_-40c_3.63v,1,1,0.5,1.17832e+06,278.39,,inf,,PASS,1.15718e+06,-78.42,780426,-30.58,,-3.06,FAIL,-356.81,3.19,0.9821,pm-wrap-360
fs_-40c_3.63v,1,4.7,0.001,131176,84.54,,inf,738381,PASS,131496,84.46,767533,-9.51,714848,10.1,FAIL,-0.08,-0.08,1.002,gm-only
fs_-40c_3.63v,1,4.7,0.05,134003,95.25,,inf,706729,PASS,134373,95.20,776839,-12.72,682176,13.79,FAIL,-0.06,-0.06,1.003,gm-only
fs_-40c_3.63v,1,4.7,0.2,259304,130.54,,inf,346917,PASS,963296,-65.70,782438,-22.10,,-4.072,FAIL,-196.24,163.76,3.715,crossing-selection
