corner_id,iload_ma,ceff_uf,esr_ohm,base_f_crossover_hz,base_phase_margin_deg,base_f_180_hz,base_gain_margin_db,base_f0_rising_hz,base_result,new_f_crossover_hz,new_phase_margin_deg,new_f_180_hz,new_gain_margin_db,new_f0_rising_hz,new_resurgence_db,new_result,d_phase_margin_deg_raw,d_phase_margin_deg_unwrapped,f_crossover_ratio,class
fs_-40c_3.63v,1,4.7,0.5,1.16939e+06,290.44,,inf,,PASS,1.14778e+06,-66.19,783862,-29.75,,-1.701,FAIL,-356.64,3.36,0.9815,pm-wrap-360
ss_-40c_3.63v,1,0.33,0.001,940196,206.65,,inf,,PASS,924862,-149.73,612305,-33.09,,-3.545,FAIL,-356.37,3.63,0.9837,pm-wrap-360
ss_-40c_3.63v,1,0.33,0.05,940971,212.07,,inf,,PASS,925777,-144.40,613297,-33.57,,-3.49,FAIL,-356.47,3.53,0.9839,pm-wrap-360
ss_-40c_3.63v,1,0.33,0.2,952331,227.59,,inf,,PASS,937604,-129.20,616251,-35.24,,-2.826,FAIL,-356.79,3.21,0.9845,pm-wrap-360
ss_-40c_3.63v,1,0.33,0.5,1.00755e+06,250.19,,inf,,PASS,991810,-107.12,621251,-38.84,,-2.092,FAIL,-357.31,2.69,0.9844,pm-wrap-360
ss_-40c_3.63v,1,1,0.001,789367,212.80,,inf,,PASS,773934,-141.36,612486,-23.62,,-4.329,FAIL,-354.16,5.84,0.9804,pm-wrap-360
ss_-40c_3.63v,1,1,0.05,792213,226.38,,inf,,PASS,777300,-128.15,615489,-25.23,,-4.005,FAIL,-354.53,5.47,0.9812,pm-wrap-360
ss_-40c_3.63v,1,1,0.2,830667,257.07,,inf,,PASS,815624,-98.72,622991,-30.78,,-3.232,FAIL,-355.79,4.21,0.9819,pm-wrap-360
ss_-40c_3.63v,1,1,0.5,945714,277.62,,inf,,PASS,929315,-79.29,629728,-38.86,,-2.733,FAIL,-356.91,3.09,0.9827,pm-wrap-360
ss_-40c_3.63v,1,4.7,0.001,122401,83.45,,inf,591265,PASS,122916,83.34,613165,-10.54,573617,19.15,FAIL,-0.12,-0.12,1.004,gm-only
ss_-40c_3.63v,1,4.7,0.05,124691,93.42,,inf,570672,PASS,125246,93.34,624643,-18.91,551100,22.01,FAIL,-0.08,-0.08,1.004,gm-only
ss_-40c_3.63v,1,4.7,0.2,205036,125.11,,inf,327773,PASS,215378,125.33,634972,-28.76,299265,30.96,FAIL,0.22,0.22,1.05,gm-only
ss_-40c_3.63v,1,4.7,0.5,935215,292.47,,inf,,PASS,918166,-64.23,638748,-34.35,,-3.121,FAIL,-356.70,3.30,0.9818,pm-wrap-360
ss_27c_3.63v,0.1,0.33,0.001,174192,77.92,,inf,541355,PASS,175587,77.67,606611,-20.92,520309,23.1,FAIL,-0.25,-0.25,1.008,gm-only
ss_27c_3.63v,0.1,0.33,0.05,174226,78.93,,inf,541157,PASS,175624,78.68,607268,-20.60,519993,23.13,FAIL,-0.24,-0.24,1.008,gm-only
ss_27c_3.63v,0.1,0.33,0.2,174739,81.99,,inf,538322,PASS,176162,81.76,609224,-19.85,516768,23.42,FAIL,-0.22,-0.22,1.008,gm-only
ss_27c_3.63v,0.1,0.33,0.5,177684,87.99,,inf,525195,PASS,179223,87.81,612559,-19.31,502890,24.65,FAIL,-0.19,-0.19,1.009,gm-only
ss_27c_3.63v,0.1,1,0.001,48594.5,90.91,,inf,603453,PASS,48628,90.89,607211,-10.98,579633,13.48,FAIL,-0.03,-0.03,1.001,gm-only
ss_27c_3.63v,0.1,1,0.05,48601.3,91.77,,inf,602891,PASS,48634.9,91.74,609156,-10.21,579227,13.75,FAIL,-0.02,-0.02,1.001,gm-only
ss_27c_3.63v,0.1,1,0.2,48704.2,94.39,,inf,594850,PASS,48738.2,94.37,613873,-9.74,576088,15.75,FAIL,-0.02,-0.02,1.001,gm-only
ss_27c_3.63v,0.1,1,0.5,49291.5,99.67,,inf,574377,PASS,49327.3,99.65,618204,-12.13,553578,20.37,FAIL,-0.02,-0.02,1.001,gm-only
ss_27c_3.63v,0.1,4.7,0.001,9222.33,70.73,,inf,,PASS,9222.57,70.72,610266,3.62,601726,0.4926,FAIL,-0.00,-0.00,1,gm-only
ss_27c_3.63v,0.1,4.7,0.05,9223.09,71.49,,inf,,PASS,9223.34,71.49,616097,3.07,595862,4.025,FAIL,-0.00,-0.00,1,gm-only
ss_27c_3.63v,0.1,4.7,0.2,9234.72,73.86,,inf,610710,PASS,9234.96,73.86,620539,-2.76,582469,12.14,FAIL,-0.00,-0.00,1,gm-only
ss_27c_3.63v,0.1,4.7,0.5,9300.46,78.72,,inf,579597,PASS,9300.72,78.72,621990,-9.25,559451,19.43,FAIL,-0.00,-0.00,1,gm-only
tt_-40c_3.63v,0.1,0.33,0.001,276508,72.81,,inf,667111,PASS,280333,72.37,767306,-14.41,637173,15.65,FAIL,-0.44,-0.44,1.014,gm-only
tt_-40c_3.63v,0.1,0.33,0.05,276653,74.41,,inf,666654,PASS,280497,73.99,768195,-14.49,636563,15.7,FAIL,-0.42,-0.42,1.014,gm-only
tt_-40c_3.63v,0.1,0.33,0.2,278864,79.21,,inf,659993,PASS,282872,78.84,770803,-15.05,629149,16.15,FAIL,-0.37,-0.37,1.014,gm-only
tt_-40c_3.63v,0.1,0.33,0.5,292396,88.50,,inf,618657,PASS,297819,88.21,774930,-17.01,586570,17.98,FAIL,-0.29,-0.29,1.019,gm-only
tt_-40c_3.63v,0.1,1,0.001,78878.6,89.35,,inf,766275,PASS,78956.4,89.32,767808,-4.80,739390,6.024,FAIL,-0.03,-0.03,1.001,gm-only
tt_-40c_3.63v,0.1,1,0.05,78905.9,90.74,,inf,765386,PASS,78983.9,90.71,770430,-5.29,737955,6.418,FAIL,-0.03,-0.03,1.001,gm-only
tt_-40c_3.63v,0.1,1,0.2,79320.9,94.98,,inf,753094,PASS,79401,94.95,776252,-8.36,726885,9.308,FAIL,-0.03,-0.03,1.001,gm-only
tt_-40c_3.63v,0.1,1,0.5,81843.2,103.49,,inf,703455,PASS,81938.4,103.47,780675,-14.05,678265,14.81,FAIL,-0.02,-0.02,1.001,gm-only
tt_-40c_3.63v,0.1,4.7,0.001,13928.7,75.93,,inf,,PASS,13929.2,75.93,770535,8.23,,-0.749,FAIL,-0.00,-0.00,1,gm-only
tt_-40c_3.63v,0.1,4.7,0.05,13931.5,77.09,,inf,,PASS,13932,77.09,778159,3.31,,-0.7469,FAIL,-0.00,-0.00,1,gm-only
tt_-40c_3.63v,0.1,4.7,0.2,13974.5,80.70,,inf,766709,PASS,13975.1,80.69,782730,-6.07,739182,6.744,FAIL,-0.00,-0.00,1,gm-only
tt_-40c_3.63v,0.1,4.7,0.5,14220.6,88.20,,inf,712882,PASS,14221.2,88.20,784032,-13.64,688848,14.23,FAIL,-0.00,-0.00,1,gm-only
