corner_id,corner,temp_c,vin_v,cout,esr_ohm,rload_ohm,t_v04,t_v14,t_startup,vout_max_en,vout_settled,icap_peak_ma,isup_peak_ma,dvout_max,dvout_min,ssr_end,clg_end,vout_pp_late,vout_off_tran,pg_off_tran,ssr_off_tran,clg_off_tran,slope_vpms,t_startup_ms
ff_-40c_2.97v_0.33u_0.001_36,ff,-40,2.97,0.33u,0.001,36,0.000832686,0.0023772,0.00282978,1.94062,1.78822,107.052,155.265,243.168,-160.477,2.15667,3.70345,0.316545,2.55624e-09,2.97005,-9.08366e-09,4.80559e-05,0.647453,2.82978
ff_-40c_2.97v_0.33u_0.5_36,ff,-40,2.97,0.33u,0.5,36,0.000832685,0.0023772,0.00282978,1.95735,1.86291,135.125,187.205,1316.78,-977.606,2.15669,2.20465,0.267063,5.89067e-08,2.96996,2.42896e-08,-4.64086e-05,0.647452,2.82978
ff_-40c_2.97v_1u_0.1_1e9,ff,-40,2.97,1u,0.1,1e9,0.00085445,0.00237561,0.00282854,1.80559,1.80193,7.6475,7.6642,7.58153,-0.000775097,2.15667,2.96994,0.000296283,1.80006,2.97,8.02324e-09,1.95e-06,0.657393,2.82854
ff_-40c_2.97v_1u_0.1_36,ff,-40,2.97,1u,0.1,36,0.000832673,0.0023772,0.00282978,1.87207,1.8166,194.099,244.814,318.775,-179.515,2.15668,2.39933,0.142139,5.18309e-09,2.96999,1.31066e-08,-1.02614e-05,0.647447,2.82978
ff_-40c_2.97v_4.7u_0.001_36,ff,-40,2.97,4.7u,0.001,36,0.000836628,0.0023772,0.00282978,1.80492,1.79945,24.0855,53.2444,5.11278,-0.906245,2.15667,2.96994,3.33102e-09,0.00882438,2.97001,7.71252e-09,9.85593e-06,0.64911,2.82978
ff_-40c_2.97v_4.7u_0.5_36,ff,-40,2.97,4.7u,0.5,36,0.00083273,0.00237719,0.00282978,1.87771,1.8239,152.805,205.047,1168.33,-589.23,2.15668,2.56697,0.103215,0.00936551,2.96997,1.56944e-08,-3.30351e-05,0.647475,2.82978
ff_-40c_3.30v_1u_0.1_36,ff,-40,3.30,1u,0.1,36,0.000854487,0.00240919,0.00286983,1.85381,1.79923,202.445,253.151,404.017,-324.523,2.23599,3.17894,0.125323,1.72367e-08,3.29997,1.9926e-08,-3.36039e-05,0.64321,2.86983
ff_-40c_3.63v_0.33u_0.001_36,ff,-40,3.63,0.33u,0.001,36,0.000873781,0.00243479,0.00289966,1.91994,1.69555,112.215,160.278,269.549,-159.488,2.31106,4.32486,0.284233,2.3239e-08,3.62997,2.21187e-08,-3.02206e-05,0.640611,2.89966
ff_-40c_3.63v_0.33u_0.5_36,ff,-40,3.63,0.33u,0.5,36,0.00087378,0.00243479,0.00289966,1.956,1.78996,151.25,203.696,1772.32,-1193.6,2.31109,3.65439,0.200997,2.49048e-09,3.63001,6.54634e-09,1.54476e-05,0.640611,2.89966
ff_-40c_3.63v_1u_0.1_1e9,ff,-40,3.63,1u,0.1,1e9,0.000864038,0.0024337,0.00289871,1.80422,1.80067,7.54654,7.56764,7.51269,-0.000754647,2.31109,3.62993,0.000292204,1.7988,3.62998,1.89462e-08,-1.77951e-05,0.63708,2.89871
